time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-24T12:00:00.000Z,SOL,enter,trend,strict6,1,23.79,420.34000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0001
2023-02-25T12:00:00.000Z,SOL,exit,trend,trend,1,22.77,420.34000000000003,sma40-break,retq22-0001
2023-03-18T12:00:00.000Z,ETH,enter,trend,strict6,1,1813.16,5.246,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0002
2023-04-15T00:00:00.000Z,ETH,exit,trend,trend,1,2099.99,5.246,trend-switch,retq22-0002
2023-04-15T00:00:00.000Z,SOL,enter,trend,strict6,1,24.72,443.19,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0003
2023-04-21T00:00:00.000Z,SOL,exit,trend,trend,1,22.19,443.19,sma40-break,retq22-0003
2023-05-29T00:00:00.000Z,ETH,enter,trend,strict6,1,1908.64,5.119,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0004
2023-05-29T12:00:00.000Z,ETH,exit,trend,trend,1,1903.26,5.119,risk-off,retq22-0004
2023-06-25T12:00:00.000Z,ETH,enter,trend,strict6,1,1918.37,5.049,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0005
2023-07-01T00:00:00.000Z,ETH,exit,trend,trend,1,1933.8,5.049,trend-switch,retq22-0005
2023-07-01T00:00:00.000Z,SOL,enter,trend,strict6,1,18.85,514.88,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0006
2023-07-17T12:00:00.000Z,SOL,exit,trend,trend,1,27.14,514.88,trend-switch,retq22-0006
2023-07-17T12:00:00.000Z,ETH,enter,trend,strict6,1,1910.09,7.2780000000000005,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0007
2023-07-18T12:00:00.000Z,ETH,exit,trend,trend,1,1894.15,7.2780000000000005,sma40-break,retq22-0007
2023-07-23T00:00:00.000Z,SOL,enter,trend,strict6,1,24.52,558.88,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0008
2023-07-24T12:00:00.000Z,SOL,exit,trend,trend,1,23.62,558.88,sma40-break,retq22-0008
2023-10-02T12:00:00.000Z,SOL,enter,trend,strict6,1,23.83,550.5600000000001,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0009
2023-10-12T12:00:00.000Z,SOL,exit,trend,trend,1,21.51,550.5600000000001,sma40-break,retq22-0009
2023-10-19T00:00:00.000Z,SOL,enter,trend,strict6,1,23.41,502.68,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0010
2023-11-04T12:00:00.000Z,SOL,exit,trend,trend,1,41.52,502.68,trend-switch,retq22-0010
2023-11-04T12:00:00.000Z,ETH,enter,trend,strict6,1,1837.49,11.305,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0011
2023-11-10T00:00:00.000Z,ETH,exit,trend,trend,1,2121.33,11.305,trend-switch,retq22-0011
2023-11-10T00:00:00.000Z,SOL,enter,trend,strict6,1,45.3,526.44,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0012
2023-11-15T12:00:00.000Z,SOL,exit,trend,trend,1,62.98,526.44,trend-switch,retq22-0012
2023-11-15T12:00:00.000Z,ETH,enter,trend,strict6,1,2013.16,16.384,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0013
2023-11-22T00:00:00.000Z,ETH,exit,trend,trend,1,1933.01,16.384,sma40-break,retq22-0013
