time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-24T12:00:00.000Z,SOL,enter,trend,strict6,1,23.79,420.34000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0001
2023-02-25T00:00:00.000Z,SOL,exit,trend,trend,1,23.07,420.34000000000003,sma-break,retq22-0001
2023-03-18T12:00:00.000Z,ETH,enter,trend,strict6,1,1813.16,5.315,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0002
2023-04-15T00:00:00.000Z,ETH,exit,trend,trend,1,2099.99,5.315,trend-switch,retq22-0002
2023-04-15T00:00:00.000Z,SOL,enter,trend,strict6,1,24.72,449.04,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0003
2023-04-21T12:00:00.000Z,SOL,exit,trend,trend,1,22.02,449.04,sma-break,retq22-0003
2023-05-29T00:00:00.000Z,ETH,enter,trend,strict6,1,1908.64,5.147,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0004
2023-05-29T12:00:00.000Z,ETH,exit,trend,trend,1,1903.26,5.147,risk-off,retq22-0004
2023-06-25T12:00:00.000Z,ETH,enter,trend,strict6,1,1918.37,5.0760000000000005,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0005
2023-07-01T00:00:00.000Z,ETH,exit,trend,trend,1,1933.8,5.0760000000000005,trend-switch,retq22-0005
2023-07-01T00:00:00.000Z,SOL,enter,trend,strict6,1,18.85,517.67,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0006
2023-07-14T12:00:00.000Z,SOL,exit,trend,trend,1,28.05,517.67,trend-profit-trailing,retq22-0006
2023-07-17T12:00:00.000Z,ETH,enter,trend,strict6,1,1910.09,7.563,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0007
2023-07-18T12:00:00.000Z,ETH,exit,trend,trend,1,1894.15,7.563,sma-break,retq22-0007
2023-07-23T00:00:00.000Z,SOL,enter,trend,strict6,1,24.52,580.78,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0008
2023-07-24T12:00:00.000Z,SOL,exit,trend,trend,1,23.62,580.78,off22-strong,retq22-0008
2023-10-02T12:00:00.000Z,SOL,enter,trend,strict6,1,23.83,572.15,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0009
2023-10-13T00:00:00.000Z,SOL,exit,trend,trend,1,21.29,572.15,sma-break,retq22-0009
2023-10-19T00:00:00.000Z,SOL,enter,trend,strict6,1,23.41,517.03,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0010
2023-11-03T00:00:00.000Z,SOL,exit,trend,trend,1,40.24,517.03,trend-profit-trailing,retq22-0010
2023-11-04T12:00:00.000Z,ETH,enter,trend,strict6,1,1837.49,11.268,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0011
2023-11-10T00:00:00.000Z,ETH,exit,trend,trend,1,2121.33,11.268,trend-switch,retq22-0011
2023-11-10T00:00:00.000Z,SOL,enter,trend,strict6,1,45.3,524.74,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0012
2023-11-14T00:00:00.000Z,SOL,exit,trend,trend,1,51.6,524.74,trend-profit-trailing,retq22-0012
2023-11-15T12:00:00.000Z,ETH,enter,trend,strict6,1,2013.16,13.374,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0013
2023-11-22T00:00:00.000Z,ETH,exit,trend,trend,1,1933.01,13.374,sma-break,retq22-0013
2023-11-26T12:00:00.000Z,ETH,enter,trend,strict6,1,2084.65,12.325000000000001,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0014
2023-12-07T12:00:00.000Z,ETH,exit,trend,trend,1,2236.04,12.325000000000001,trend-switch,retq22-0014
2023-12-07T12:00:00.000Z,AVAX,enter,trend,strict6,1,26.52,1033.19,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0015
2023-12-13T00:00:00.000Z,AVAX,exit,trend,trend,1,37.49,1033.19,trend-profit-trailing,retq22-0015
2023-12-13T00:00:00.000Z,AVAX,enter,trend,strict6,1,37.49,1027.89,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0016
2023-12-18T12:00:00.000Z,AVAX,exit,trend,trend,1,38.18,1027.89,trend-profit-trailing,retq22-0016
2023-12-24T00:00:00.000Z,ETH,enter,trend,strict6,1,2308.2,16.901,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0017
2023-12-26T12:00:00.000Z,ETH,exit,trend,trend,1,2242.6,16.901,sma-break,retq22-0017
2023-12-29T12:00:00.000Z,SOL,enter,trend,strict6,1,107.56,350.24,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0018
2024-01-06T12:00:00.000Z,SOL,exit,trend,trend,1,94.45,350.24,sma-break,retq22-0018
2024-01-09T12:00:00.000Z,ETH,enter,trend,strict6,1,2298.77,14.298,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0019
2024-01-13T00:00:00.000Z,ETH,exit,trend,trend,1,2522.55,14.298,risk-off,retq22-0019
2024-02-11T12:00:00.000Z,SOL,enter,trend,strict6,1,109.71,326.87,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0020
2024-02-17T00:00:00.000Z,SOL,exit,trend,trend,1,110.32,326.87,trend-switch,retq22-0020
2024-02-17T00:00:00.000Z,ETH,enter,trend,strict6,1,2801.81,12.793000000000001,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0021
2024-03-10T00:00:00.000Z,ETH,exit,trend,trend,1,3905.2,12.793000000000001,trend-switch,retq22-0021
2024-03-10T00:00:00.000Z,SOL,enter,trend,strict6,1,144.3,344.44,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0022
2024-03-19T12:00:00.000Z,SOL,exit,trend,trend,1,177.84,344.44,trend-profit-trailing,retq22-0022
2024-03-26T12:00:00.000Z,SOL,enter,trend,strict6,1,194.8,312.74,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0023
2024-04-02T12:00:00.000Z,SOL,exit,trend,trend,1,179.87,312.74,sma-break,retq22-0023
2024-05-20T12:00:00.000Z,SOL,enter,trend,strict6,1,177.72,314.55,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0024
2024-05-31T12:00:00.000Z,SOL,exit,trend,trend,1,168.74,314.55,trend-switch,retq22-0024
2024-05-31T12:00:00.000Z,ETH,enter,trend,strict6,1,3802.62,13.872,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0025
2024-06-09T00:00:00.000Z,ETH,exit,trend,trend,1,3681.58,13.872,sma-break,retq22-0025
2024-07-20T00:00:00.000Z,SOL,enter,trend,strict6,1,169.12,300.14,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0026
2024-08-02T12:00:00.000Z,SOL,exit,trend,trend,1,164.36,300.14,sma-break,retq22-0026
2024-09-24T00:00:00.000Z,ETH,enter,trend,strict6,1,2646.98,18.523,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0027
2024-09-29T12:00:00.000Z,ETH,exit,trend,trend,1,2652.49,18.523,trend-switch,retq22-0027
2024-09-29T12:00:00.000Z,SOL,enter,trend,strict6,1,156.76,311.55,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0028
2024-10-03T00:00:00.000Z,SOL,exit,trend,trend,1,140.18,311.55,sma-break,retq22-0028
2024-10-16T00:00:00.000Z,SOL,enter,trend,strict6,1,154.76,280.40000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0029
2024-11-03T12:00:00.000Z,SOL,exit,trend,trend,1,163.62,280.40000000000003,trend-profit-trailing,retq22-0029
2024-11-07T00:00:00.000Z,SOL,enter,trend,strict6,1,186.59,244.45000000000002,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0030
2024-11-12T12:00:00.000Z,SOL,exit,trend,trend,1,211.12,244.45000000000002,trend-switch,retq22-0030
2024-11-12T12:00:00.000Z,AVAX,enter,trend,strict6,1,34.43,1490.46,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0031
2024-11-18T00:00:00.000Z,AVAX,exit,trend,trend,1,34.72,1490.46,trend-switch,retq22-0031
2024-11-18T00:00:00.000Z,SOL,enter,trend,strict6,1,237.47,216.61,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0032
2024-11-23T12:00:00.000Z,SOL,exit,trend,trend,1,256.13,216.61,trend-switch,retq22-0032
2024-11-23T12:00:00.000Z,AVAX,enter,trend,strict6,1,42.31,1303.73,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0033
2024-11-29T00:00:00.000Z,AVAX,exit,trend,trend,1,42.78,1303.73,trend-switch,retq22-0033
2024-11-29T00:00:00.000Z,ETH,enter,trend,strict6,1,3578.8,15.491,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0034
2024-12-04T12:00:00.000Z,ETH,exit,trend,trend,1,3729.09,15.491,trend-switch,retq22-0034
2024-12-04T12:00:00.000Z,AVAX,enter,trend,strict6,1,53.93,1064.88,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0035
2024-12-10T00:00:00.000Z,AVAX,exit,trend,trend,1,45.02,1064.88,trend-switch,retq22-0035
2024-12-10T00:00:00.000Z,ETH,enter,trend,strict6,1,3712,12.83,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0036
2024-12-19T00:00:00.000Z,ETH,exit,trend,trend,1,3626.8,12.83,sma-break,retq22-0036
2025-01-06T12:00:00.000Z,ETH,enter,trend,strict6,1,3654.51,12.655000000000001,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0037
2025-01-08T00:00:00.000Z,ETH,exit,trend,trend,1,3381.31,12.655000000000001,risk-off,retq22-0037
2025-01-17T12:00:00.000Z,SOL,enter,trend,strict6,1,218.77,194.38,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0038
2025-01-20T00:00:00.000Z,SOL,exit,trend,trend,1,252.4,194.38,trend-profit-trailing,retq22-0038
2025-04-15T12:00:00.000Z,SOL,enter,trend,strict6,1,132.14,369.21,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0039
2025-04-16T00:00:00.000Z,SOL,exit,trend,trend,1,126.1,369.21,risk-off,retq22-0039
2025-04-21T00:00:00.000Z,SOL,enter,trend,strict6,1,137.86,335.64,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0040
