trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,SOL,2023-02-24T12:00:00.000Z,2023-02-25T00:00:00.000Z,23.79,23.07,420.34000000000003,-302.64480000000003,59.0913972,-361.73619720000005,1,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0002,trend,trend,ETH,2023-03-18T12:00:00.000Z,2023-04-15T00:00:00.000Z,1813.16,2099.99,5.315,1524.5014499999997,62.395176750000005,1462.1062732499997,55,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0003,trend,trend,SOL,2023-04-15T00:00:00.000Z,2023-04-21T00:00:00.000Z,24.72,22.19,449.04,-1136.0711999999985,63.1933992,-1199.2645991999984,12,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0004,trend,trend,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,5.187,-27.906060000001162,59.3169759,-87.22303590000116,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0005,trend,trend,ETH,2023-06-25T12:00:00.000Z,2023-07-01T00:00:00.000Z,1918.37,1933.8,5.115,78.92445000000043,59.11154865,19.81290135000043,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0006,trend,trend,SOL,2023-07-01T00:00:00.000Z,2023-07-17T12:00:00.000Z,18.85,27.14,521.6800000000001,4324.727200000001,71.97618960000001,4252.751010400001,33,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0007,trend,trend,ETH,2023-07-17T12:00:00.000Z,2023-07-18T12:00:00.000Z,1910.09,1894.15,7.3740000000000006,-117.54155999999784,84.15739728000001,-201.69895727999784,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0008,trend,trend,SOL,2023-07-23T00:00:00.000Z,2023-07-24T00:00:00.000Z,24.52,24.76,566.26,135.90240000000085,83.71587840000001,52.186521600000845,2,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0009,trend,trend,SOL,2023-10-02T12:00:00.000Z,2023-10-11T00:00:00.000Z,23.83,22.11,584.84,-1005.9247999999989,80.6026488,-1086.5274487999989,17,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0010,trend,trend,SOL,2023-10-19T00:00:00.000Z,2023-11-04T12:00:00.000Z,23.41,41.52,548.92,9940.941200000001,106.9241268,9834.0170732,33,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0011,trend,trend,ETH,2023-11-04T12:00:00.000Z,2023-11-10T00:00:00.000Z,1837.49,2121.33,12.345,3504.004799999999,146.6148987,3357.3899012999987,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0012,trend,trend,SOL,2023-11-10T00:00:00.000Z,2023-11-15T12:00:00.000Z,45.3,62.98,574.87,10163.7016,186.7407708,9976.960829200001,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0013,trend,trend,ETH,2023-11-15T12:00:00.000Z,2023-11-22T00:00:00.000Z,2013.16,1933.01,17.891000000000002,-1433.9636500000051,211.80278241000002,-1645.766432410005,13,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0014,trend,trend,ETH,2023-11-26T12:00:00.000Z,2023-12-07T12:00:00.000Z,2084.65,2236.04,16.488,2496.1183200000014,213.71861016,2282.3997098400014,22,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0015,trend,trend,AVAX,2023-12-07T12:00:00.000Z,2023-12-24T00:00:00.000Z,26.52,48.04,1382.17,29744.298400000007,309.1637856,29435.134614400005,33,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,trend-switch
retq22-0016,trend,trend,ETH,2023-12-24T00:00:00.000Z,2023-12-26T12:00:00.000Z,2308.2,2242.6,28.632,-1878.2592000000004,390.8955168,-2269.1547168000006,5,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0017,trend,trend,SOL,2023-12-29T12:00:00.000Z,2024-01-03T00:00:00.000Z,107.56,106.72,593.35,-498.41399999999703,381.429114,-879.8431139999971,9,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0018,trend,trend,ETH,2024-01-09T12:00:00.000Z,2024-01-13T00:00:00.000Z,2298.77,2522.55,27.38,6127.096400000009,396.02322480000004,5731.073175200009,7,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0019,trend,trend,SOL,2024-02-11T12:00:00.000Z,2024-02-12T12:00:00.000Z,109.71,104.21,625.94,-3442.6699999999983,401.7032544,-3844.373254399998,2,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0020,trend,trend,ETH,2024-02-17T00:00:00.000Z,2024-03-10T00:00:00.000Z,2801.81,3905.2,23.137,25529.13443,465.54027111000005,25063.59415889,44,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0021,trend,trend,SOL,2024-03-10T00:00:00.000Z,2024-03-24T00:00:00.000Z,144.3,172.65,622.95,17660.632499999992,592.3320075000001,17068.30049249999,28,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0022,trend,trend,SOL,2024-03-26T12:00:00.000Z,2024-03-27T12:00:00.000Z,194.8,188.54,549.07,-3437.1782000000094,631.4414814,-4068.6196814000095,2,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0023,trend,trend,SOL,2024-04-01T00:00:00.000Z,2024-04-02T12:00:00.000Z,202.45,179.87,508.23,-11475.833399999989,582.9194808,-12058.752880799988,3,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0024,trend,trend,SOL,2024-05-20T12:00:00.000Z,2024-05-26T00:00:00.000Z,177.72,168.35,511.1,-4789.007000000012,530.629131,-5319.636131000012,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0025,trend,trend,SOL,2024-05-26T00:00:00.000Z,2024-05-26T12:00:00.000Z,168.35,164.03,507.94,-2194.3007999999973,506.4872916,-2700.788091599997,1,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0026,trend,trend,ETH,2024-05-31T12:00:00.000Z,2024-06-09T00:00:00.000Z,3802.62,3681.58,21.777,-2635.8880800000043,488.9502702,-3124.8383502000042,17,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0027,trend,trend,SOL,2024-07-20T00:00:00.000Z,2024-07-26T00:00:00.000Z,169.12,171.86,471.18,1291.0331999999908,481.98886920000007,809.0443307999907,12,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0028,trend,trend,SOL,2024-07-31T00:00:00.000Z,2024-08-01T00:00:00.000Z,179.16,171.7,449.29,-3351.703400000013,472.9136682,-3824.617068200013,2,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0029,trend,trend,ETH,2024-09-24T00:00:00.000Z,2024-09-29T12:00:00.000Z,2646.98,2652.49,28.965,159.59715000000142,460.49744565000003,-300.9002956499986,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
