trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,ETH,2023-02-19T00:00:00.000Z,2023-02-24T12:00:00.000Z,1691.62,1647.43,5.9110000000000005,-261.2070899999999,59.21137365,-320.41846364999986,11,trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0002,trend,trend,SOL,2023-02-24T12:00:00.000Z,2023-02-25T00:00:00.000Z,23.79,23.07,406.87,-292.9463999999989,57.197784600000006,-350.1441845999989,1,trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
retq22-0003,range,range-primary,SOL,2023-03-07T12:00:00.000Z,2023-03-15T12:00:00.000Z,20.31,20.59,229.67000000000002,64.3076000000001,28.180509,36.12709100000009,16,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,range-time
retq22-0004,trend,trend,ETH,2023-03-18T12:00:00.000Z,2023-04-15T00:00:00.000Z,1813.16,2099.99,5.165,1481.4769499999984,60.63425925,1420.8426907499984,55,trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0005,trend,trend,SOL,2023-04-15T00:00:00.000Z,2023-04-21T12:00:00.000Z,24.72,22.02,436.34000000000003,-1178.1180000000004,61.1835948,-1239.3015948000004,13,trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
retq22-0006,trend,trend,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,5.002,-26.910760000000664,57.2013714,-84.11213140000066,1,trend-close>sma40|mom20-ok|retq22-off,risk-off
retq22-0007,range,range-primary,SOL,2023-06-09T00:00:00.000Z,2023-06-17T00:00:00.000Z,18.88,15.32,250.6,-892.1359999999995,25.71156,-917.8475599999995,16,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,range-time
retq22-0008,trend,trend,ETH,2023-06-25T12:00:00.000Z,2023-07-01T00:00:00.000Z,1918.37,1933.8,4.454,68.72522000000026,51.47269554,17.252524460000267,11,trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0009,trend,trend,SOL,2023-07-01T00:00:00.000Z,2023-07-24T12:00:00.000Z,18.85,23.62,454.23,2166.677100000001,57.8734443,2108.803655700001,47,trend-close>sma40|mom20-ok|sol-ok|retq22-off,off22-strong
retq22-0010,range,range-primary,SOL,2023-08-03T00:00:00.000Z,2023-08-09T12:00:00.000Z,23.14,24.85,230.57,394.27469999999994,33.1951629,361.0795370999999,13,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,mean-revert
