trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,top2-trend,ETH,2023-02-19T00:00:00.000Z,2023-02-25T00:00:00.000Z,1691.62,1607.8,2.955,-247.6880999999994,29.249358299999997,-276.9374582999994,12,top2-trend-ETH,sma-break
retq22-0002,trend,top2-trend,SOL,2023-02-19T00:00:00.000Z,2023-02-25T00:00:00.000Z,23.46,23.07,106.27,-41.44529999999986,14.8342293,-56.279529299999865,12,top2-trend-SOL,sma-break
retq22-0004,trend,top2-trend,SOL,2023-03-18T12:00:00.000Z,2023-03-26T00:00:00.000Z,22.48,20.4,107.21000000000001,-222.99680000000035,13.791494400000001,-236.78829440000035,15,top2-trend-SOL,sma-break
retq22-0003,trend,top2-trend,ETH,2023-03-18T12:00:00.000Z,2023-04-15T00:00:00.000Z,1813.16,2099.99,2.665,764.4019499999986,31.28563425,733.1163157499985,55,top2-trend-ETH,top2-rebalance
retq22-0005,trend,top2-trend,SOL,2023-04-15T00:00:00.000Z,2023-04-21T12:00:00.000Z,24.72,22.02,205.56,-555.0119999999997,28.8236232,-583.8356231999998,13,top2-trend-SOL,sma-break
retq22-0006,trend,top2-trend,ETH,2023-04-15T00:00:00.000Z,2023-04-21T12:00:00.000Z,2099.99,1909.01,1.206,-230.3218799999995,14.504561999999998,-244.8264419999995,13,top2-trend-ETH,sma-break
retq22-0007,trend,top2-trend,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,2.445,-13.154099999999744,27.9602865,-41.11438649999974,1,top2-trend-ETH,risk-off
retq22-0008,trend,top2-trend,SOL,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,20.81,20.75,111.81,-6.708599999999933,13.9404708,-20.649070799999933,1,top2-trend-SOL,risk-off
retq22-0010,trend,top2-trend,SOL,2023-06-25T12:00:00.000Z,2023-06-26T00:00:00.000Z,17.25,16.96,134.02,-38.865800000000036,13.754472600000001,-52.620272600000035,1,top2-trend-SOL,sma-break
retq22-0009,trend,top2-trend,ETH,2023-06-25T12:00:00.000Z,2023-07-01T00:00:00.000Z,1918.37,1933.8,2.416,37.278880000000754,27.92052816,9.358351840000754,11,top2-trend-ETH,top2-rebalance
retq22-0012,trend,top2-trend,ETH,2023-07-01T00:00:00.000Z,2023-07-10T00:00:00.000Z,1933.8,1862.81,1.189,-84.4071100000001,13.54250787,-97.9496178700001,18,top2-trend-ETH,sma-break
