time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-24T12:00:00.000Z,TRX,enter,trend,strict6,1,0.06958,143719,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0001
2023-03-01T00:00:00.000Z,TRX,exit,trend,trend,1,0.06905,143719,off22-strong,retq22-0001
2023-06-25T12:00:00.000Z,TRX,enter,trend,strict6,1,0.07342,134351,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0002
2023-06-26T00:00:00.000Z,TRX,exit,trend,trend,1,0.07314,134351,sma-break,retq22-0002
2023-07-01T00:00:00.000Z,TRX,enter,trend,strict6,1,0.0762,128180,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0003
2023-07-24T12:00:00.000Z,TRX,exit,trend,trend,1,0.08088,128180,off22-strong,retq22-0003
2023-10-19T00:00:00.000Z,TRX,enter,trend,strict6,1,0.08914,115625,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0004
2023-11-21T00:00:00.000Z,TRX,exit,trend,trend,1,0.10097,115625,sma-break,retq22-0004
2023-11-26T12:00:00.000Z,TRX,enter,trend,strict6,1,0.10816,107329,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0005
2023-11-28T00:00:00.000Z,TRX,exit,trend,trend,1,0.10193,107329,sma-break,retq22-0005
2023-12-24T00:00:00.000Z,TRX,enter,trend,strict6,1,0.10676,101840,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0006
2023-12-27T00:00:00.000Z,TRX,exit,trend,trend,1,0.10305,101840,sma-break,retq22-0006
2023-12-29T12:00:00.000Z,TRX,enter,trend,strict6,1,0.10624,98178,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0007
2024-01-05T12:00:00.000Z,TRX,exit,trend,trend,1,0.10474,98178,sma-break,retq22-0007
2024-02-11T12:00:00.000Z,TRX,enter,trend,strict6,1,0.12476,81926,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0008
2024-03-06T00:00:00.000Z,TRX,exit,trend,trend,1,0.13585,81926,sma-break,retq22-0008
2024-04-01T00:00:00.000Z,TRX,enter,trend,strict6,1,0.12296,89993,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0009
2024-04-01T12:00:00.000Z,TRX,exit,trend,trend,1,0.12134,89993,sma-break,retq22-0009
