trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,TRX,2023-02-24T12:00:00.000Z,2023-03-01T00:00:00.000Z,0.06958,0.06905,143719,-76.17107000000033,59.77129491,-135.94236491000032,9,trend-close>sma40|mom20-ok|eff-ok|retq22-off,off22-strong
retq22-0002,trend,trend,TRX,2023-06-25T12:00:00.000Z,2023-06-26T00:00:00.000Z,0.07342,0.07314,134351,-37.618280000000595,59.07144767999999,-96.68972768000059,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0003,trend,trend,TRX,2023-07-01T00:00:00.000Z,2023-07-24T12:00:00.000Z,0.0762,0.08088,128180,599.8823999999986,60.4035432,539.4788567999985,47,trend-close>sma40|mom20-ok|eff-ok|retq22-off,off22-strong
retq22-0004,trend,trend,TRX,2023-10-19T00:00:00.000Z,2023-11-21T00:00:00.000Z,0.08914,0.10097,115625,1367.84375,65.94440625,1301.89934375,66,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0005,trend,trend,TRX,2023-11-26T12:00:00.000Z,2023-11-28T00:00:00.000Z,0.10816,0.10193,107329,-668.6596699999991,67.64624882999999,-736.3059188299991,3,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0006,trend,trend,TRX,2023-12-24T00:00:00.000Z,2023-12-27T00:00:00.000Z,0.10676,0.10305,101840,-377.8263999999981,64.1011512,-441.9275511999981,6,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0007,trend,trend,TRX,2023-12-29T12:00:00.000Z,2024-01-05T12:00:00.000Z,0.10624,0.10474,98178,-147.26699999999983,62.140783320000004,-209.40778331999982,14,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0008,trend,trend,TRX,2024-02-11T12:00:00.000Z,2024-03-06T00:00:00.000Z,0.12476,0.13585,81926,908.5593399999998,64.05220458,844.5071354199998,47,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0009,trend,trend,TRX,2024-04-01T00:00:00.000Z,2024-04-01T12:00:00.000Z,0.12296,0.12134,89993,-145.78866000000016,65.95586970000001,-211.74452970000016,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0010,trend,trend,TRX,2024-06-11T12:00:00.000Z,2024-06-14T00:00:00.000Z,0.11723,0.11696,92586,-24.99822000000131,65.04814601999999,-90.0463660200013,5,trend-close>sma40|mom20-ok|eff-ok|retq22-off,off22-strong
retq22-0011,trend,trend,TRX,2024-07-20T00:00:00.000Z,2024-07-31T00:00:00.000Z,0.13466,0.133,79933,-132.6887800000004,64.18460034,-196.8733803400004,22,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0012,trend,trend,TRX,2024-09-29T12:00:00.000Z,2024-10-11T00:00:00.000Z,0.1561,0.1589,67693,189.54040000000168,63.969885000000005,125.57051500000168,23,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0013,trend,trend,TRX,2024-10-16T00:00:00.000Z,2024-10-20T00:00:00.000Z,0.1587,0.1567,67375,-134.75,63.750225,-198.500225,8,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0014,trend,trend,TRX,2024-10-27T00:00:00.000Z,2024-11-05T12:00:00.000Z,0.1651,0.1618,63561,-209.7512999999999,62.3342727,-272.0855726999999,19,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0015,trend,trend,TRX,2024-11-12T12:00:00.000Z,2024-12-19T00:00:00.000Z,0.1766,0.258,57881,4711.5134,75.4652478,4636.0481522,73,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0016,trend,trend,TRX,2025-01-23T00:00:00.000Z,2025-01-23T12:00:00.000Z,0.2536,0.2461,58588,-439.40999999999804,87.8292708,-527.239270799998,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0017,trend,trend,TRX,2025-01-28T12:00:00.000Z,2025-01-29T00:00:00.000Z,0.2472,0.2399,57972,-423.1956000000009,84.7144836,-507.9100836000009,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0018,trend,trend,TRX,2025-04-21T00:00:00.000Z,2025-04-26T00:00:00.000Z,0.2437,0.2418,56720,-107.76800000000185,82.61268,-190.38068000000186,10,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0019,trend,trend,TRX,2025-05-13T00:00:00.000Z,2025-05-31T00:00:00.000Z,0.2717,0.267,50174,-235.8177999999989,81.0862014,-316.9040013999989,36,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0020,trend,trend,TRX,2025-06-09T12:00:00.000Z,2025-06-12T12:00:00.000Z,0.2832,0.272,47018,-526.6016,78.3131808,-604.9147808,6,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0021,trend,trend,TRX,2025-07-12T12:00:00.000Z,2025-08-03T00:00:00.000Z,0.303,0.322,41949,797.030999999999,78.654375,718.3766249999991,43,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0022,trend,trend,TRX,2025-08-14T12:00:00.000Z,2025-08-18T12:00:00.000Z,0.3683,0.3462,36462,-805.8101999999999,78.15629700000001,-883.9664969999999,8,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
