period,start_equity,end_equity,return_pct
2023-02,10000,10000,0
2023-03,10000,10000,0
2023-04,10000,10000,0
2023-05,10000,10000,0
2023-06,10000,10000,0
2023-07,10000,10000,0
2023-08,10000,10000,0
2023-09,10000,10000,0
2023-10,10000,10343.020744000001,3.4302074400000215
2023-11,10629.8263382,10735.379326400001,0.9929888301249079
2023-12,10735.379326400001,10735.379326400001,0
2024-01,10735.379326400001,10735.379326400001,0
2024-02,10735.379326400001,10735.379326400001,0
2024-03,10735.379326400001,10735.379326400001,0
2024-04,10735.379326400001,10735.379326400001,0
2024-05,10735.379326400001,10735.379326400001,0
2024-06,10735.379326400001,10735.379326400001,0
2024-07,10735.379326400001,10735.379326400001,0
2024-08,10735.379326400001,10735.379326400001,0
2024-09,10735.379326400001,10735.379326400001,0
2024-10,10735.379326400001,10735.379326400001,0
2024-11,10735.379326400001,11840.675318900003,10.29582615475826
2024-12,11840.675318900003,11840.675318900003,0
2025-01,11840.675318900003,11840.675318900003,0
2025-02,11840.675318900003,11840.675318900003,0
2025-03,11840.675318900003,11840.675318900003,0
2025-04,11840.675318900003,11840.675318900003,0
2025-05,11840.675318900003,11840.675318900003,0
2025-06,11840.675318900003,11840.675318900003,0
2025-07,11840.675318900003,11840.675318900003,0
2025-08,11840.675318900003,11061.271037400003,-6.582430989015631
2025-09,11061.271037400003,11061.271037400003,0
2025-10,11061.271037400003,11061.271037400003,0
2025-11,11061.271037400003,11061.271037400003,0
2025-12,11061.271037400003,11061.271037400003,0
2026-01,11061.271037400003,11061.271037400003,0
2026-02,11061.271037400003,11061.271037400003,0
2026-03,11061.271037400003,11061.271037400003,0
2026-04,11061.271037400003,11061.271037400003,0
