time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-19T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,1691.62,5.9110000000000005,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0001
2023-02-24T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,1647.43,5.9110000000000005,trend-switch,retq22-0001
2023-02-24T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,23.79,406.87,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0002
2023-02-25T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,23.07,406.87,sma-break,retq22-0002
2023-03-18T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,1813.16,5.1450000000000005,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0003
2023-04-09T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,1839.22,5.1450000000000005,trend-switch,retq22-0003
2023-04-15T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,24.72,380.54,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0004
2023-04-21T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,22.02,380.54,sma-break,retq22-0004
2023-05-29T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,1908.64,4.362,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0005
2023-05-29T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,1903.26,4.362,risk-off,retq22-0005
2023-06-25T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,1918.37,4.3020000000000005,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0006
2023-07-01T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,1933.8,4.3020000000000005,trend-switch,retq22-0006
2023-07-01T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,18.85,438.7,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0007
2023-07-24T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,23.62,438.7,off22-strong,retq22-0007
2023-10-02T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,23.83,432.49,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0008
2023-10-08T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,23.29,432.49,trend-switch,retq22-0008
2023-10-24T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,31.83,314.53000000000003,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0009
2023-11-04T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,41.52,314.53000000000003,trend-switch,retq22-0009
2023-11-04T12:00:00.000Z,CAKE,enter,trend,expanded-universe,1,1.862,6976.5,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0010
2023-11-15T12:00:00.000Z,CAKE,exit,trend,expanded-universe,1,2.684,6976.5,trend-switch,retq22-0010
2023-11-15T12:00:00.000Z,AVAX,enter,trend,expanded-universe,1,19.64,948.5600000000001,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0011
2023-11-21T00:00:00.000Z,AVAX,exit,trend,expanded-universe,1,20.86,948.5600000000001,trend-switch,retq22-0011
2023-11-21T00:00:00.000Z,CAKE,enter,trend,expanded-universe,1,2.601,7563.150000000001,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0012
2023-11-26T12:00:00.000Z,CAKE,exit,trend,expanded-universe,1,2.386,7563.150000000001,trend-switch,retq22-0012
2023-11-26T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,2084.65,8.602,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0013
2023-12-02T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,2087.24,8.602,trend-switch,retq22-0013
2023-12-02T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,59.74,298.74,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0014
2023-12-07T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,64.18,298.74,trend-switch,retq22-0014
2023-12-07T12:00:00.000Z,AVAX,enter,trend,expanded-universe,1,26.52,718.79,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0015
2023-12-24T00:00:00.000Z,AVAX,exit,trend,expanded-universe,1,48.04,718.79,trend-switch,retq22-0015
2023-12-24T00:00:00.000Z,CAKE,enter,trend,expanded-universe,1,2.887,11905.12,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0016
2024-01-06T12:00:00.000Z,CAKE,exit,trend,expanded-universe,1,2.946,11905.12,sma-break,retq22-0016
2024-01-09T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,2298.77,15.166,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0017
2024-01-13T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,2522.55,15.166,risk-off,retq22-0017
2024-02-11T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,109.71,346.72,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0018
2024-02-17T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,110.32,346.72,trend-switch,retq22-0018
2024-02-17T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,2801.81,13.57,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0019
2024-03-04T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,3506.92,13.57,trend-switch,retq22-0019
2024-03-04T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,132.59,356.98,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0020
2024-03-15T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,170,356.98,trend-switch,retq22-0020
2024-03-15T12:00:00.000Z,CAKE,enter,trend,expanded-universe,1,4.488,13449.94,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0021
2024-03-19T12:00:00.000Z,CAKE,exit,trend,expanded-universe,1,3.64,13449.94,sma-break,retq22-0021
2024-03-21T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,191.76,253.59,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0022
2024-04-02T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,179.87,253.59,sma-break,retq22-0022
2024-05-20T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,177.72,255.07,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0023
2024-05-26T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,168.35,255.07,trend-switch,retq22-0023
2024-05-26T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,3749.25,11.382,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0024
2024-05-31T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,3802.62,11.382,trend-switch,retq22-0024
