trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,expanded-universe,ETH,2023-02-19T00:00:00.000Z,2023-02-24T12:00:00.000Z,1691.62,1647.43,5.9110000000000005,-261.2070899999999,59.21137365,-320.41846364999986,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0002,trend,expanded-universe,SOL,2023-02-24T12:00:00.000Z,2023-02-25T00:00:00.000Z,23.79,23.07,406.87,-292.9463999999989,57.197784600000006,-350.1441845999989,1,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
retq22-0003,trend,expanded-universe,ETH,2023-03-18T12:00:00.000Z,2023-04-09T12:00:00.000Z,1813.16,1839.22,5.1450000000000005,134.07870000000003,56.3744853,77.70421470000002,44,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0004,trend,expanded-universe,SOL,2023-04-15T00:00:00.000Z,2023-04-21T12:00:00.000Z,24.72,22.02,380.54,-1027.4580000000005,53.3593188,-1080.8173188000005,13,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
retq22-0005,trend,expanded-universe,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,4.362,-23.46755999999914,49.88252340000001,-73.35008339999915,1,expanded-trend-close>sma40|mom20-ok|retq22-off,risk-off
retq22-0006,trend,expanded-universe,ETH,2023-06-25T12:00:00.000Z,2023-07-01T00:00:00.000Z,1918.37,1933.8,4.3020000000000005,66.37986000000092,49.71610602000001,16.663753980000905,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0007,trend,expanded-universe,SOL,2023-07-01T00:00:00.000Z,2023-07-24T12:00:00.000Z,18.85,23.62,438.7,2092.599,55.89476700000001,2036.7042330000002,47,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,off22-strong
retq22-0008,trend,expanded-universe,SOL,2023-10-02T12:00:00.000Z,2023-10-08T00:00:00.000Z,23.83,23.29,432.49,-233.54459999999926,61.1367864,-294.68138639999927,11,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0009,trend,expanded-universe,SOL,2023-10-24T12:00:00.000Z,2023-11-04T12:00:00.000Z,31.83,41.52,314.53000000000003,3047.7957000000024,69.21232650000002,2978.5833735000024,22,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0010,trend,expanded-universe,CAKE,2023-11-04T12:00:00.000Z,2023-11-15T12:00:00.000Z,1.862,2.684,6976.5,5734.682999999999,95.145507,5639.537492999999,22,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0011,trend,expanded-universe,AVAX,2023-11-15T12:00:00.000Z,2023-11-21T00:00:00.000Z,19.64,20.86,948.5600000000001,1157.2432000000008,115.25004000000001,1041.993160000001,11,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,trend-switch
retq22-0012,trend,expanded-universe,CAKE,2023-11-21T00:00:00.000Z,2023-11-26T12:00:00.000Z,2.601,2.386,7563.150000000001,-1626.0772499999985,113.15228715,-1739.2295371499986,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0013,trend,expanded-universe,ETH,2023-11-26T12:00:00.000Z,2023-12-02T00:00:00.000Z,2084.65,2087.24,8.602,22.279179999994085,107.65979334000001,-85.38061334000592,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0014,trend,expanded-universe,SOL,2023-12-02T00:00:00.000Z,2023-12-07T12:00:00.000Z,59.74,64.18,298.74,1326.4056000000019,111.05958240000001,1215.346017600002,11,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0015,trend,expanded-universe,AVAX,2023-12-07T12:00:00.000Z,2023-12-24T00:00:00.000Z,26.52,48.04,718.79,15468.360799999995,160.77894719999998,15307.581852799995,33,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,trend-switch
retq22-0016,trend,expanded-universe,CAKE,2023-12-24T00:00:00.000Z,2024-01-06T12:00:00.000Z,2.887,2.946,11905.12,702.4020799999998,208.32769488000002,494.0743851199998,27,expanded-trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0017,trend,expanded-universe,ETH,2024-01-09T12:00:00.000Z,2024-01-13T00:00:00.000Z,2298.77,2522.55,15.166,3393.847480000004,219.36041736,3174.487062640004,7,expanded-trend-close>sma40|mom20-ok|retq22-off,risk-off
retq22-0018,trend,expanded-universe,SOL,2024-02-11T12:00:00.000Z,2024-02-17T00:00:00.000Z,109.71,110.32,346.72,211.49919999999838,228.8664048,-17.367204800001616,11,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0019,trend,expanded-universe,ETH,2024-02-17T00:00:00.000Z,2024-03-04T12:00:00.000Z,2801.81,3506.92,13.57,9568.342700000001,256.8283983,9311.514301700001,33,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0020,trend,expanded-universe,SOL,2024-03-04T12:00:00.000Z,2024-03-15T12:00:00.000Z,132.59,170,356.98,13354.6218,324.05573460000005,13030.5660654,22,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0021,trend,expanded-universe,CAKE,2024-03-15T12:00:00.000Z,2024-03-19T12:00:00.000Z,4.488,3.64,13449.94,-11405.549120000003,327.96333696,-11733.512456960003,8,expanded-trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0022,trend,expanded-universe,SOL,2024-03-21T00:00:00.000Z,2024-04-02T12:00:00.000Z,191.76,179.87,253.59,-3015.185099999995,282.7249551,-3297.910055099995,25,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
retq22-0023,trend,expanded-universe,SOL,2024-05-20T12:00:00.000Z,2024-05-26T00:00:00.000Z,177.72,168.35,255.07,-2390.0059000000037,264.81622469999996,-2654.8221247000038,11,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0024,trend,expanded-universe,ETH,2024-05-26T00:00:00.000Z,2024-05-31T12:00:00.000Z,3749.25,3802.62,11.382,607.4573400000008,257.86615301999996,349.5911869800009,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0025,trend,expanded-universe,SOL,2024-07-20T00:00:00.000Z,2024-08-02T12:00:00.000Z,169.12,164.36,254.41,-1210.991599999994,254.5219404,-1465.5135403999939,27,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
retq22-0026,trend,expanded-universe,CAKE,2024-08-27T12:00:00.000Z,2024-08-28T00:00:00.000Z,1.902,1.797,21851.31,-2294.3875499999995,242.48398706999998,-2536.8715370699992,1,expanded-trend-close>sma40|mom20-ok|retq22-off,risk-off
retq22-0027,trend,expanded-universe,CAKE,2024-09-18T12:00:00.000Z,2024-10-02T00:00:00.000Z,1.711,1.886,22807.9,3991.3824999999924,246.12004890000003,3745.262451099992,27,expanded-trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0028,trend,expanded-universe,SOL,2024-10-21T12:00:00.000Z,2024-11-01T12:00:00.000Z,166.42,167.88,256.99,375.2054000000062,257.735271,117.47012900000618,22,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0029,trend,expanded-universe,DOGE,2024-11-01T12:00:00.000Z,2024-11-07T00:00:00.000Z,0.16095,0.19646,266462,9462.065619999994,285.70855026000004,9176.357069739994,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0030,trend,expanded-universe,SOL,2024-11-07T00:00:00.000Z,2024-11-12T12:00:00.000Z,186.59,211.12,279.02,6844.3606,332.90713259999995,6511.4534674,11,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0031,trend,expanded-universe,DOGE,2024-11-12T12:00:00.000Z,2024-11-18T00:00:00.000Z,0.39567,0.36704,148039,-4238.356570000004,338.73247707,-4577.089047070003,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0032,trend,expanded-universe,SOL,2024-11-18T00:00:00.000Z,2024-11-23T12:00:00.000Z,237.47,256.13,227.38,4242.910799999998,336.704304,3906.206495999998,11,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0033,trend,expanded-universe,AVAX,2024-11-23T12:00:00.000Z,2024-11-29T00:00:00.000Z,42.31,42.78,1368.56,643.2232000000004,349.35231120000003,293.87088880000033,11,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,trend-switch
retq22-0034,trend,expanded-universe,CAKE,2024-11-29T00:00:00.000Z,2024-12-15T00:00:00.000Z,3.045,3.22,19112.59,3344.703250000006,359.22112905000006,2985.482120950006,32,expanded-trend-close>sma40|mom20-ok|retq22-off,sma-break
