period,start_equity,end_equity,return_pct
2023-02,10000,9700.1681617,-2.9983183830000093
2023-03,9700.1681617,9716.672210587241,0.17014188426554
2023-04,9671.185315645962,11089.530097406849,14.665676806609218
2023-05,11089.530097406849,10991.830880406851,-0.8810041195780105
2023-06,10991.830880406851,10872.209078716853,-1.0882791319435814
2023-07,10697.447939716854,14909.441736196855,39.37381906615276
2023-08,14909.441736196855,14818.92773949686,-0.6070917898974515
2023-09,14818.92773949686,15060.057148296863,1.6271717700419241
2023-10,15060.057148296863,18176.06714420575,20.690558908412093
2023-11,18009.83397513329,22743.180592037636,26.282011391331082
2023-12,23161.167577877637,43904.55687733985,89.56106910290325
2024-01,45114.07340933985,44362.63354991985,-1.6656440055896948
2024-02,44362.63354991985,54577.14207445394,23.02502738715915
2024-03,55763.33305431202,92988.74925294837,66.75608174708599
2024-04,90652.29131814837,88451.80509534836,-2.427391730317441
2024-05,88451.80509534836,75277.23594049485,-14.894630065097846
2024-06,75910.28671357485,73620.99378798484,-3.0157874837543175
2024-07,73620.99378798484,62542.38520595499,-15.048164948620835
2024-08,62192.280281154985,59756.133512755,-3.917120834590415
2024-09,59756.133512755,65131.12055905121,8.994870869864634
2024-10,65936.25488805122,76809.10879781954,16.489947644476644
2024-11,75973.57627340993,246399.11261732507,224.32211922023546
2024-12,246002.49389380505,200620.25277742514,-18.447878473935564
2025-01,200620.25277742514,182983.58982378326,-8.791068054932916
2025-02,182983.58982378326,194346.86198658327,6.209995209812558
2025-03,194346.86198658327,194346.86198658327,0
2025-04,194346.86198658327,348127.67788327637,79.12698683414263
2025-05,348127.67788327637,448839.45740099053,28.92955255097005
2025-06,448839.45740099053,434979.7010153607,-3.0879095313689375
2025-07,434979.7010153607,664445.6863743099,52.753262927744295
2025-08,679886.1103611556,758023.2167191227,11.492675783075
2025-09,758023.2167191227,692120.0781086265,-8.694079172896352
2025-10,692120.0781086265,683453.0028387767,-1.2522502299795457
2025-11,683453.0028387767,683453.0028387767,0
2025-12,683453.0028387767,683453.0028387767,0
2026-01,683453.0028387767,663913.6751672087,-2.858913135271901
2026-02,663913.6751672087,663913.6751672087,0
2026-03,663913.6751672087,566701.7520344087,-14.642253468919254
2026-04,566701.7520344087,609481.1342665295,7.548835358025019
