time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-19T00:00:00.000Z,INJ,enter,trend,strict6,1,4.417,2263.98,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0001
2023-02-24T12:00:00.000Z,INJ,exit,trend,trend,1,3.887,2263.98,trend-switch,retq22-0001
2023-02-24T12:00:00.000Z,ETH,enter,trend,strict6,1,1647.43,5.307,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0002
2023-02-25T00:00:00.000Z,ETH,exit,trend,trend,1,1607.8,5.307,sma-break,retq22-0002
2023-03-18T12:00:00.000Z,ETH,enter,trend,strict6,1,1813.16,4.6770000000000005,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0003
2023-03-29T12:00:00.000Z,ETH,exit,trend,trend,1,1811.23,4.6770000000000005,trend-switch,retq22-0003
2023-03-29T12:00:00.000Z,DOGE,enter,trend,strict6,1,0.076,110811.407,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,retq22-0004
2023-04-04T00:00:00.000Z,DOGE,exit,trend,trend,1,0.09601,110811.407,trend-switch,retq22-0004
2023-04-04T00:00:00.000Z,INJ,enter,trend,strict6,1,5.872,1802.08,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0005
2023-04-09T12:00:00.000Z,INJ,exit,trend,trend,1,5.554,1802.08,trend-switch,retq22-0005
2023-04-09T12:00:00.000Z,ETH,enter,trend,strict6,1,1839.22,5.408,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0006
2023-04-15T00:00:00.000Z,ETH,exit,trend,trend,1,2099.99,5.408,trend-switch,retq22-0006
2023-04-15T00:00:00.000Z,INJ,enter,trend,strict6,1,8.083,1397.16,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0007
2023-04-20T12:00:00.000Z,INJ,exit,trend,trend,1,8.124,1397.16,trend-switch,retq22-0007
2023-04-20T12:00:00.000Z,ETH,enter,trend,strict6,1,1939.97,5.815,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0008
2023-04-21T12:00:00.000Z,ETH,exit,trend,trend,1,1909.01,5.815,sma-break,retq22-0008
2023-04-26T00:00:00.000Z,INJ,enter,trend,strict6,1,8.272,1334.07,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0009
2023-04-26T12:00:00.000Z,INJ,exit,trend,trend,1,8.435,1334.07,symbol-weak-exit,retq22-0009
2023-05-29T00:00:00.000Z,INJ,enter,trend,strict6,1,7.085,1578.8400000000001,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,retq22-0010
2023-05-29T12:00:00.000Z,INJ,exit,trend,trend,1,7.545,1578.8400000000001,risk-off,retq22-0010
2023-06-25T12:00:00.000Z,ETH,enter,trend,strict6,1,1918.37,6.173,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0011
2023-07-01T00:00:00.000Z,ETH,exit,trend,trend,1,1933.8,6.173,trend-switch,retq22-0011
2023-07-01T00:00:00.000Z,SOL,enter,trend,strict6,1,18.85,629.54,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0012
2023-07-17T12:00:00.000Z,SOL,exit,trend,trend,1,27.14,629.54,trend-switch,retq22-0012
2023-07-17T12:00:00.000Z,ETH,enter,trend,strict6,1,1910.09,8.899000000000001,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0013
2023-07-18T12:00:00.000Z,ETH,exit,trend,trend,1,1894.15,8.899000000000001,sma-break,retq22-0013
2023-07-23T00:00:00.000Z,SOL,enter,trend,strict6,1,24.52,683.34,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0014
2023-07-24T12:00:00.000Z,SOL,exit,trend,trend,1,23.62,683.34,off22-strong,retq22-0014
2023-07-28T12:00:00.000Z,ETH,enter,range,range-reclaim,1,1866.63,8.594,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0015
