ts,iso_time,equity,cash,position_symbol,position_side,position_qty,position_entry_price
1771070400000,2026-02-14T12:00:00.000Z,10000,10000,CASH,cash,0,0
1771113600000,2026-02-15T00:00:00.000Z,10000,10000,CASH,cash,0,0
1771156800000,2026-02-15T12:00:00.000Z,10000,10000,CASH,cash,0,0
1771200000000,2026-02-16T00:00:00.000Z,10000,10000,CASH,cash,0,0
1771243200000,2026-02-16T12:00:00.000Z,10000,10000,CASH,cash,0,0
1771286400000,2026-02-17T00:00:00.000Z,10000,10000,CASH,cash,0,0
1771329600000,2026-02-17T12:00:00.000Z,10000,10000,CASH,cash,0,0
1771372800000,2026-02-18T00:00:00.000Z,10000,10000,CASH,cash,0,0
1771416000000,2026-02-18T12:00:00.000Z,10000,10000,CASH,cash,0,0
1771459200000,2026-02-19T00:00:00.000Z,10000,10000,CASH,cash,0,0
1771502400000,2026-02-19T12:00:00.000Z,10000,10000,CASH,cash,0,0
1771545600000,2026-02-20T00:00:00.000Z,10000,10000,CASH,cash,0,0
1771588800000,2026-02-20T12:00:00.000Z,10000,10000,CASH,cash,0,0
1771632000000,2026-02-21T00:00:00.000Z,10000,10000,CASH,cash,0,0
1771675200000,2026-02-21T12:00:00.000Z,10000,10000,CASH,cash,0,0
1771718400000,2026-02-22T00:00:00.000Z,10000,10000,CASH,cash,0,0
1771761600000,2026-02-22T12:00:00.000Z,10000,10000,CASH,cash,0,0
1771804800000,2026-02-23T00:00:00.000Z,10000,10000,CASH,cash,0,0
1771848000000,2026-02-23T12:00:00.000Z,10000,10000,CASH,cash,0,0
1771891200000,2026-02-24T00:00:00.000Z,10000,10000,CASH,cash,0,0
1771934400000,2026-02-24T12:00:00.000Z,10000,10000,CASH,cash,0,0
1771977600000,2026-02-25T00:00:00.000Z,10000,10000,CASH,cash,0,0
1772020800000,2026-02-25T12:00:00.000Z,10000,10000,CASH,cash,0,0
1772064000000,2026-02-26T00:00:00.000Z,10000,10000,CASH,cash,0,0
1772107200000,2026-02-26T12:00:00.000Z,10000,10000,CASH,cash,0,0
1772150400000,2026-02-27T00:00:00.000Z,10000,10000,CASH,cash,0,0
1772193600000,2026-02-27T12:00:00.000Z,10000,10000,CASH,cash,0,0
