time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-19T00:00:00.000Z,INJ,enter,trend,strict6,1,4.417,2263.98,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0001
2023-02-25T00:00:00.000Z,INJ,exit,trend,trend,1,3.644,2263.98,sma-break,retq22-0001
2023-03-18T12:00:00.000Z,INJ,enter,trend,strict6,1,4.77,1718.06,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0002
2023-03-24T00:00:00.000Z,INJ,exit,trend,trend,1,4.233,1718.06,trend-switch,retq22-0002
2023-03-24T00:00:00.000Z,ETH,enter,trend,strict6,1,1813.78,3.984,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0003
2023-03-29T12:00:00.000Z,ETH,exit,trend,trend,1,1811.23,3.984,trend-switch,retq22-0003
2023-03-29T12:00:00.000Z,DOGE,enter,trend,strict6,1,0.076,94377.723,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,retq22-0004
2023-04-04T00:00:00.000Z,DOGE,exit,trend,trend,1,0.09601,94377.723,trend-switch,retq22-0004
2023-04-04T00:00:00.000Z,INJ,enter,trend,strict6,1,5.872,1534.82,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0005
2023-04-22T12:00:00.000Z,INJ,exit,trend,trend,1,7.224,1534.82,risk-off,retq22-0005
2023-04-26T00:00:00.000Z,INJ,enter,trend,strict6,1,8.272,1333.08,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0006
2023-05-01T12:00:00.000Z,INJ,exit,trend,trend,1,7.818,1333.08,off22-strong,retq22-0006
2023-05-29T00:00:00.000Z,INJ,enter,trend,strict6,1,7.085,1461.92,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0007
2023-05-29T12:00:00.000Z,INJ,exit,trend,trend,1,7.545,1461.92,risk-off,retq22-0007
2023-06-25T12:00:00.000Z,ETH,enter,trend,strict6,1,1918.37,5.716,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0008
2023-07-01T00:00:00.000Z,ETH,exit,trend,trend,1,1933.8,5.716,trend-switch,retq22-0008
2023-07-01T00:00:00.000Z,INJ,enter,trend,strict6,1,8.024,1369.41,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0009
2023-07-06T12:00:00.000Z,INJ,exit,trend,trend,1,8.321,1369.41,trend-switch,retq22-0009
2023-07-06T12:00:00.000Z,SOL,enter,trend,strict6,1,19.89,569.51,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0010
2023-07-17T12:00:00.000Z,SOL,exit,trend,trend,1,27.14,569.51,trend-switch,retq22-0010
2023-07-17T12:00:00.000Z,ETH,enter,trend,strict6,1,1910.09,8.05,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0011
2023-07-18T12:00:00.000Z,ETH,exit,trend,trend,1,1894.15,8.05,sma-break,retq22-0011
2023-07-23T00:00:00.000Z,SOL,enter,trend,strict6,1,24.52,618.11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0012
2023-07-24T12:00:00.000Z,SOL,exit,trend,trend,1,23.62,618.11,off22-strong,retq22-0012
2023-07-28T12:00:00.000Z,ETH,enter,range,range-reclaim,1,1866.63,7.773000000000001,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0013
2023-07-30T00:00:00.000Z,ETH,exit,range,range-reclaim,1,1880.45,7.773000000000001,range-time,retq22-0013
2023-08-03T00:00:00.000Z,ETH,enter,range,range-reclaim,1,1839.9,7.897,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0014
2023-08-04T12:00:00.000Z,ETH,exit,range,range-reclaim,1,1834.6,7.897,range-time,retq22-0014
2023-08-08T12:00:00.000Z,ETH,enter,range,range-reclaim,1,1839.08,7.83,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0015
2023-08-10T00:00:00.000Z,ETH,exit,range,range-reclaim,1,1855.36,7.83,range-time,retq22-0015
2023-09-27T00:00:00.000Z,ETH,enter,range,range-reclaim,1,1594.02,9.06,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0016
2023-09-27T12:00:00.000Z,ETH,exit,range,range-reclaim,1,1629.63,9.06,mean-revert,retq22-0016
2023-10-02T12:00:00.000Z,SOL,enter,trend,strict6,1,23.83,615.92,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0017
2023-10-08T00:00:00.000Z,SOL,exit,trend,trend,1,23.29,615.92,trend-switch,retq22-0017
2023-10-08T00:00:00.000Z,INJ,enter,trend,strict6,1,7.775,1833.79,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0018
2023-10-11T00:00:00.000Z,INJ,exit,trend,trend,1,7.339,1833.79,sma-break,retq22-0018
2023-10-19T00:00:00.000Z,INJ,enter,trend,strict6,1,8.122,1646.77,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0019
2023-11-04T12:00:00.000Z,INJ,exit,trend,trend,1,14.664,1646.77,trend-switch,retq22-0019
2023-11-04T12:00:00.000Z,ETH,enter,trend,strict6,1,1837.49,13.08,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0020
2023-11-10T00:00:00.000Z,ETH,exit,trend,trend,1,2121.33,13.08,trend-switch,retq22-0020
2023-11-10T00:00:00.000Z,SOL,enter,trend,strict6,1,45.3,609.11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0021
2023-11-15T12:00:00.000Z,SOL,exit,trend,trend,1,62.98,609.11,trend-switch,retq22-0021
2023-11-15T12:00:00.000Z,ETH,enter,trend,strict6,1,2013.16,18.957,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0022
2023-11-18T00:00:00.000Z,ETH,exit,trend,trend,1,1960.82,18.957,strict-extra-rotate,retq22-0022
2023-11-18T00:00:00.000Z,DOGE,enter,trend,strict6,1,0.08642,427516.113,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,retq22-0023
2023-11-22T00:00:00.000Z,DOGE,exit,trend,trend,1,0.07175,427516.113,sma-break,retq22-0023
