trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,INJ,2023-02-19T00:00:00.000Z,2023-02-24T12:00:00.000Z,4.417,3.887,2263.98,-1199.9093999999986,56.40026976,-1256.3096697599985,11,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,trend-switch
retq22-0002,trend,trend,SOL,2023-02-24T12:00:00.000Z,2023-02-25T00:00:00.000Z,23.79,23.07,367.53000000000003,-264.6216000000004,51.6673674,-316.2889674000004,1,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0003,trend,trend,ETH,2023-03-18T12:00:00.000Z,2023-03-24T00:00:00.000Z,1813.16,1813.78,4.647,2.8811399999995047,50.56317054,-47.6820305400005,11,trend-close>sma40|mom20-ok|accel-ok|eff-ok|retq22-off,trend-switch
retq22-0004,trend,trend,DOGE,2023-03-24T00:00:00.000Z,2023-04-04T00:00:00.000Z,0.07736,0.09601,108321.087,2020.18827255,56.33888055957,1963.84939199043,22,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0005,trend,trend,INJ,2023-04-04T00:00:00.000Z,2023-04-09T12:00:00.000Z,5.872,5.554,1761.5,-560.1569999999992,60.380697000000005,-620.5376969999993,11,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,trend-switch
retq22-0006,trend,trend,DOGE,2023-04-09T12:00:00.000Z,2023-04-15T00:00:00.000Z,0.08178,0.08866,118892.52900000001,817.9805995200004,60.79212792828001,757.1884715917204,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0007,trend,trend,INJ,2023-04-15T00:00:00.000Z,2023-04-20T12:00:00.000Z,8.083,8.124,1296.57,53.1593699999994,63.04052997000001,-9.88115997000061,11,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,trend-switch
retq22-0008,trend,trend,ETH,2023-04-20T12:00:00.000Z,2023-04-21T12:00:00.000Z,1939.97,1909.01,5.397,-167.09112000000096,62.31883518000001,-229.40995518000096,2,trend-close>sma40|mom20-ok|accel-ok|eff-ok|retq22-off,sma-break
retq22-0009,trend,trend,INJ,2023-04-26T00:00:00.000Z,2023-04-26T12:00:00.000Z,8.272,8.435,1238.02,201.7972600000012,62.05080042,139.7464595800012,1,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0010,trend,trend,INJ,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,7.085,7.545,1465.16,673.9735999999994,64.3058724,609.6677275999994,1,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,risk-off
retq22-0011,trend,trend,ETH,2023-06-25T12:00:00.000Z,2023-07-01T00:00:00.000Z,1918.37,1933.8,5.729,88.39847000000009,66.20724579,22.191224210000087,11,trend-close>sma40|mom20-ok|accel-ok|eff-ok|retq22-off,trend-switch
retq22-0012,trend,trend,SOL,2023-07-01T00:00:00.000Z,2023-07-24T12:00:00.000Z,18.85,23.62,584.21,2786.681699999999,74.43419610000001,2712.247503899999,47,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,off22-strong
retq22-0013,range,range-reclaim,ETH,2023-07-28T12:00:00.000Z,2023-07-30T00:00:00.000Z,1866.63,1880.45,7.352,101.60463999999956,82.64559648,18.959043519999568,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0014,range,range-reclaim,ETH,2023-08-03T00:00:00.000Z,2023-08-04T12:00:00.000Z,1839.9,1834.6,7.469,-39.58570000000145,82.3345215,-121.92022150000145,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0015,range,range-reclaim,ETH,2023-08-08T12:00:00.000Z,2023-08-10T00:00:00.000Z,1839.08,1855.36,7.406000000000001,120.5696799999987,82.08306792,38.48661207999869,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0016,range,range-reclaim,ETH,2023-09-27T00:00:00.000Z,2023-09-27T12:00:00.000Z,1594.02,1629.63,8.569,305.1420900000012,82.87037055000002,222.27171945000117,1,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,mean-revert
retq22-0017,trend,trend,SOL,2023-10-02T12:00:00.000Z,2023-10-13T00:00:00.000Z,23.83,21.29,582.5600000000001,-1479.7024000000001,78.8553216,-1558.5577216000001,21,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0018,trend,trend,INJ,2023-10-19T00:00:00.000Z,2023-10-30T00:00:00.000Z,8.122,13.92,1517.3600000000001,8797.653279999999,100.33694736000001,8697.316332639999,22,trend-close>sma40|mom20-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,trend-switch
