time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-19T00:00:00.000Z,INJ,enter,trend,strict6,1,4.417,2263.98,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0001
2023-02-25T00:00:00.000Z,INJ,exit,trend,trend,1,3.644,2263.98,sma-break,retq22-0001
2023-03-18T12:00:00.000Z,INJ,enter,trend,strict6,1,4.77,1718.06,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0002
2023-03-26T12:00:00.000Z,INJ,exit,trend,trend,1,3.992,1718.06,strict-extra-rotate,retq22-0002
2023-03-26T12:00:00.000Z,DOGE,enter,trend,strict6,1,0.0749,90966.382,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,retq22-0003
2023-04-04T00:00:00.000Z,DOGE,exit,trend,trend,1,0.09601,90966.382,trend-switch,retq22-0003
2023-04-04T00:00:00.000Z,INJ,enter,trend,strict6,1,5.872,1479.4,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0004
2023-04-22T12:00:00.000Z,INJ,exit,trend,trend,1,7.224,1479.4,risk-off,retq22-0004
2023-04-26T00:00:00.000Z,INJ,enter,trend,strict6,1,8.272,1284.94,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0005
2023-05-01T12:00:00.000Z,INJ,exit,trend,trend,1,7.818,1284.94,off22-strong,retq22-0005
2023-05-29T00:00:00.000Z,INJ,enter,trend,strict6,1,7.085,1409.1200000000001,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0006
2023-05-29T12:00:00.000Z,INJ,exit,trend,trend,1,7.545,1409.1200000000001,risk-off,retq22-0006
2023-06-25T12:00:00.000Z,ETH,enter,trend,strict6,1,1918.37,5.509,trend-close>sma40|mom20-ok|accel-ok|eff-ok|retq22-off,retq22-0007
2023-07-01T00:00:00.000Z,ETH,exit,trend,trend,1,1933.8,5.509,trend-switch,retq22-0007
2023-07-01T00:00:00.000Z,INJ,enter,trend,strict6,1,8.024,1319.96,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0008
2023-07-06T12:00:00.000Z,INJ,exit,trend,trend,1,8.321,1319.96,trend-switch,retq22-0008
2023-07-06T12:00:00.000Z,SOL,enter,trend,strict6,1,19.89,548.95,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0009
2023-07-24T12:00:00.000Z,SOL,exit,trend,trend,1,23.62,548.95,off22-strong,retq22-0009
2023-07-28T12:00:00.000Z,ETH,enter,range,range-reclaim,1,1866.63,6.907,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0010
2023-07-30T00:00:00.000Z,ETH,exit,range,range-reclaim,1,1880.45,6.907,range-time,retq22-0010
2023-08-03T00:00:00.000Z,ETH,enter,range,range-reclaim,1,1839.9,7.017,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0011
2023-08-04T12:00:00.000Z,ETH,exit,range,range-reclaim,1,1834.6,7.017,range-time,retq22-0011
2023-08-08T12:00:00.000Z,ETH,enter,range,range-reclaim,1,1839.08,6.958,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0012
2023-08-10T00:00:00.000Z,ETH,exit,range,range-reclaim,1,1855.36,6.958,range-time,retq22-0012
2023-09-27T00:00:00.000Z,ETH,enter,range,range-reclaim,1,1594.02,8.051,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0013
2023-09-27T12:00:00.000Z,ETH,exit,range,range-reclaim,1,1629.63,8.051,mean-revert,retq22-0013
2023-10-02T12:00:00.000Z,SOL,enter,trend,strict6,1,23.83,547.32,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0014
2023-10-08T00:00:00.000Z,SOL,exit,trend,trend,1,23.29,547.32,trend-switch,retq22-0014
2023-10-08T00:00:00.000Z,INJ,enter,trend,strict6,1,7.775,1629.57,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0015
2023-10-11T00:00:00.000Z,INJ,exit,trend,trend,1,7.339,1629.57,sma-break,retq22-0015
2023-10-19T00:00:00.000Z,INJ,enter,trend,strict6,1,8.122,1463.3700000000001,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0016
2023-11-04T12:00:00.000Z,INJ,exit,trend,trend,1,14.664,1463.3700000000001,trend-switch,retq22-0016
2023-11-04T12:00:00.000Z,ETH,enter,trend,strict6,1,1837.49,11.623000000000001,trend-close>sma40|mom20-ok|accel-ok|eff-ok|retq22-off,retq22-0017
2023-11-10T00:00:00.000Z,ETH,exit,trend,trend,1,2121.33,11.623000000000001,trend-switch,retq22-0017
2023-11-10T00:00:00.000Z,SOL,enter,trend,strict6,1,45.3,541.27,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0018
2023-11-15T12:00:00.000Z,SOL,exit,trend,trend,1,62.98,541.27,trend-switch,retq22-0018
2023-11-15T12:00:00.000Z,DOGE,enter,trend,strict6,1,0.07465,454303.488,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,retq22-0019
2023-11-22T00:00:00.000Z,DOGE,exit,trend,trend,1,0.07175,454303.488,sma-break,retq22-0019
2023-12-02T00:00:00.000Z,INJ,enter,trend,strict6,1,17.963,1803.52,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0020
2023-12-04T12:00:00.000Z,INJ,exit,trend,trend,1,16.533,1803.52,sma-break,retq22-0020
2023-12-07T12:00:00.000Z,AVAX,enter,trend,strict6,1,26.52,1117.31,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0021
2023-12-29T00:00:00.000Z,AVAX,exit,trend,trend,1,39.8,1117.31,sma-break,retq22-0021
2023-12-29T12:00:00.000Z,SOL,enter,trend,strict6,1,107.56,411.36,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0022
2024-01-06T12:00:00.000Z,SOL,exit,trend,trend,1,94.45,411.36,sma-break,retq22-0022
2024-01-09T12:00:00.000Z,INJ,enter,trend,strict6,1,42.317,912.26,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0023
2024-01-10T12:00:00.000Z,INJ,exit,trend,trend,1,38.057,912.26,sma-break,retq22-0023
