trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,INJ,2023-02-19T00:00:00.000Z,2023-02-25T00:00:00.000Z,4.417,3.644,2263.98,-1750.0565399999996,54.74982834,-1804.8063683399996,12,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0002,trend,trend,INJ,2023-03-18T12:00:00.000Z,2023-03-26T12:00:00.000Z,4.77,3.992,1718.06,-1336.6506799999997,45.16092516,-1381.8116051599998,16,trend-close>sma40|mom20-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0003,trend,trend,DOGE,2023-03-26T12:00:00.000Z,2023-04-04T00:00:00.000Z,0.0749,0.09601,90966.382,1920.3003240200005,46.641193042859996,1873.6591309771404,17,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0004,trend,trend,INJ,2023-04-04T00:00:00.000Z,2023-04-22T12:00:00.000Z,5.872,7.224,1479.4,2000.1488000000008,58.12266720000001,1942.0261328000008,37,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0005,trend,trend,INJ,2023-04-26T00:00:00.000Z,2023-05-01T12:00:00.000Z,8.272,7.818,1284.94,-583.36276,62.024053800000004,-645.3868138,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,off22-strong
retq22-0006,trend,trend,INJ,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,7.085,7.545,1409.1200000000001,648.1952000000001,61.8462768,586.3489232000002,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0007,trend,trend,ETH,2023-06-25T12:00:00.000Z,2023-07-01T00:00:00.000Z,1918.37,1933.8,5.509,85.00387000000046,63.66481359000001,21.339056410000453,11,trend-close>sma40|mom20-ok|accel-ok|eff-ok|retq22-off,trend-switch
retq22-0008,trend,trend,INJ,2023-07-01T00:00:00.000Z,2023-07-06T12:00:00.000Z,8.024,8.321,1319.96,392.02812000000085,64.72423859999999,327.3038814000009,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0009,trend,trend,SOL,2023-07-06T12:00:00.000Z,2023-07-24T12:00:00.000Z,19.89,23.62,548.95,2047.5835000000006,71.65444350000001,1975.9290565000006,36,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,off22-strong
retq22-0010,range,range-reclaim,ETH,2023-07-28T12:00:00.000Z,2023-07-30T00:00:00.000Z,1866.63,1880.45,6.907,95.45473999999922,77.64324468000001,17.81149531999921,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0011,range,range-reclaim,ETH,2023-08-03T00:00:00.000Z,2023-08-04T12:00:00.000Z,1839.9,1834.6,7.017,-37.19010000000162,77.3518995,-114.54199950000162,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0012,range,range-reclaim,ETH,2023-08-08T12:00:00.000Z,2023-08-10T00:00:00.000Z,1839.08,1855.36,6.958,113.27623999999923,77.11774055999999,36.15849943999925,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0013,range,range-reclaim,ETH,2023-09-27T00:00:00.000Z,2023-09-27T12:00:00.000Z,1594.02,1629.63,8.051,286.6961100000026,77.86081845000001,208.83529155000258,1,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,mean-revert
retq22-0014,trend,trend,SOL,2023-10-02T12:00:00.000Z,2023-10-08T00:00:00.000Z,23.83,23.29,547.32,-295.5527999999995,77.3691552,-372.9219551999995,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0015,trend,trend,INJ,2023-10-08T00:00:00.000Z,2023-10-11T00:00:00.000Z,7.775,7.339,1629.57,-710.4925199999998,73.88796294,-784.3804829399998,6,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0016,trend,trend,INJ,2023-10-19T00:00:00.000Z,2023-11-04T12:00:00.000Z,8.122,14.664,1463.3700000000001,9573.36654,100.03304646000001,9473.333493540002,33,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0017,trend,trend,ETH,2023-11-04T12:00:00.000Z,2023-11-10T00:00:00.000Z,1837.49,2121.33,11.623000000000001,3299.0723199999993,138.04009458000002,3161.032225419999,11,trend-close>sma40|mom20-ok|accel-ok|eff-ok|retq22-off,trend-switch
retq22-0018,trend,trend,SOL,2023-11-10T00:00:00.000Z,2023-11-15T12:00:00.000Z,45.3,62.98,541.27,9569.653600000001,175.8261468,9393.827453200001,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0019,trend,trend,DOGE,2023-11-15T12:00:00.000Z,2023-11-22T00:00:00.000Z,0.07465,0.07175,454303.488,-1317.4801151999964,199.5300919296,-1517.0102071295964,13,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,sma-break
retq22-0020,trend,trend,INJ,2023-12-02T00:00:00.000Z,2023-12-04T12:00:00.000Z,17.963,16.533,1803.52,-2579.033599999999,186.64267776000003,-2765.676277759999,5,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0021,trend,trend,AVAX,2023-12-07T12:00:00.000Z,2023-12-29T00:00:00.000Z,26.52,39.8,1117.31,14837.876799999998,222.29999759999998,14615.576802399999,43,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,sma-break
retq22-0022,trend,trend,SOL,2023-12-29T12:00:00.000Z,2024-01-06T12:00:00.000Z,107.56,94.45,411.36,-5392.929599999996,249.29650080000002,-5642.226100799996,16,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0023,trend,trend,INJ,2024-01-09T12:00:00.000Z,2024-01-10T12:00:00.000Z,42.317,38.057,912.26,-3886.2275999999983,219.96595572,-4106.193555719999,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0024,trend,trend,ETH,2024-02-11T12:00:00.000Z,2024-02-17T00:00:00.000Z,2531.29,2801.81,13.628,3686.6465599999938,218.0384604,3468.6080995999937,11,trend-close>sma40|mom20-ok|accel-ok|eff-ok|retq22-off,trend-switch
retq22-0025,trend,trend,DOGE,2024-02-17T00:00:00.000Z,2024-02-22T12:00:00.000Z,0.08591,0.08475,441937.308,-512.6472772799971,226.26306294984005,-738.9103402298372,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0026,trend,trend,INJ,2024-02-22T12:00:00.000Z,2024-02-23T00:00:00.000Z,35.1,34.14,1060.6200000000001,-1018.1951999999947,220.31198640000002,-1238.5071863999947,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0027,trend,trend,INJ,2024-02-28T00:00:00.000Z,2024-03-01T00:00:00.000Z,39.96,40.91,900.63,855.5984999999928,218.5018443,637.0966556999928,4,trend-close>sma40|mom20-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0028,trend,trend,DOGE,2024-03-01T00:00:00.000Z,2024-03-04T12:00:00.000Z,0.11732,0.16262,312193.26,14142.354677999996,262.1861436132,13880.168534386796,7,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0029,trend,trend,ETH,2024-03-04T12:00:00.000Z,2024-03-10T00:00:00.000Z,3506.92,3905.2,14.402000000000001,5736.028559999992,320.24805672,5415.7805032799915,11,trend-close>sma40|mom20-ok|accel-ok|eff-ok|retq22-off,trend-switch
retq22-0030,trend,trend,SOL,2024-03-10T00:00:00.000Z,2024-03-11T12:00:00.000Z,144.3,148.27,387.54,1538.5338000000047,340.14773340000005,1198.3860666000046,3,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0031,trend,trend,DOGE,2024-03-11T12:00:00.000Z,2024-03-15T12:00:00.000Z,0.17517,0.16052,326088.076,-4777.190313399995,328.39351869732,-5105.583832097315,8,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0032,trend,trend,SOL,2024-03-15T12:00:00.000Z,2024-03-26T12:00:00.000Z,170,194.8,305.97,7588.056000000004,334.853568,7253.202432000004,22,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0033,trend,trend,DOGE,2024-03-26T12:00:00.000Z,2024-03-31T00:00:00.000Z,0.18375,0.19913,322549.48,4960.811002400005,370.4932347072,4590.317767692805,9,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,strict-extra-trailing
retq22-0034,trend,trend,SOL,2024-04-01T00:00:00.000Z,2024-04-02T12:00:00.000Z,202.45,179.87,315.42,-7122.183599999997,361.7741232000001,-7483.9577231999965,3,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0035,range,range-atr_snapback,AVAX,2024-04-06T12:00:00.000Z,2024-04-08T12:00:00.000Z,46.92,50.43,1201.5,4217.264999999992,350.898075,3866.366924999992,4,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-time
retq22-0036,trend,trend,SOL,2024-05-20T12:00:00.000Z,2024-05-26T00:00:00.000Z,177.72,168.35,338.96,-3176.0551999999952,351.9116616,-3527.9668615999954,11,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0037,trend,trend,DOGE,2024-05-26T00:00:00.000Z,2024-06-03T00:00:00.000Z,0.17402,0.1571,325900.627,-5514.238608840009,323.73664683671996,-5837.975255676729,16,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,sma-break
retq22-0038,trend,trend,INJ,2024-06-06T00:00:00.000Z,2024-06-14T00:00:00.000Z,26.8,28.84,1898.33,3872.5931999999957,316.8692436,3555.7239563999956,16,trend-close>sma40|mom20-ok|eff-ok|retq22-off,off22-strong
retq22-0039,trend,trend,INJ,2024-07-20T00:00:00.000Z,2024-07-25T12:00:00.000Z,26.4,23.64,2061.77,-5690.4851999999955,309.5129124,-5999.998112399995,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0040,trend,trend,SOL,2024-07-25T12:00:00.000Z,2024-08-02T12:00:00.000Z,168.81,164.36,286.89,-1276.6604999999981,286.7494239,-1563.4099238999981,16,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0041,trend,trend,INJ,2024-08-27T12:00:00.000Z,2024-08-28T00:00:00.000Z,20.43,19,2294.05,-3280.4914999999964,271.3631745,-3551.8546744999967,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0042,trend,trend,INJ,2024-09-18T12:00:00.000Z,2024-09-29T12:00:00.000Z,18.68,22.64,2318.82,9182.527200000004,287.44092720000003,8895.086272800005,22,trend-close>sma40|mom20-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0043,trend,trend,DOGE,2024-09-29T12:00:00.000Z,2024-10-02T00:00:00.000Z,0.12701,0.10686,411076.288,-8283.187203200003,288.41523442368,-8571.602437623682,5,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,sma-break
retq22-0044,range,range-atr_snapback,AVAX,2024-10-05T00:00:00.000Z,2024-10-07T00:00:00.000Z,26.27,26.93,1661.17,1096.372199999998,265.12273200000004,831.2494679999979,4,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,mean-revert
retq22-0045,trend,trend,ETH,2024-10-16T00:00:00.000Z,2024-10-17T00:00:00.000Z,2607.41,2611.1,17.055,62.932950000002165,267.00506415,-204.07211414999784,2,trend-close>sma40|mom20-ok|accel-ok|eff-ok|retq22-off,strict-extra-rotate
retq22-0046,trend,trend,DOGE,2024-10-17T00:00:00.000Z,2024-10-21T12:00:00.000Z,0.12574,0.14435,352046.876,6551.59236236001,285.25302221652,6266.3393401434905,9,strict-extra-rotate-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0047,trend,trend,SOL,2024-10-21T12:00:00.000Z,2024-10-23T12:00:00.000Z,166.42,166.41,303.64,-3.0363999999972293,303.1815035999999,-306.21790359999716,4,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,strict-extra-rotate
