trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,INJ,2023-02-19T00:00:00.000Z,2023-02-25T00:00:00.000Z,4.417,3.644,2263.98,-1750.0565399999996,54.74982834,-1804.8063683399996,12,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0002,trend,trend,INJ,2023-03-18T12:00:00.000Z,2023-03-24T00:00:00.000Z,4.77,4.233,1718.06,-922.5982199999999,46.40308254,-969.0013025399999,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0003,trend,trend,ETH,2023-03-24T00:00:00.000Z,2023-03-29T12:00:00.000Z,1813.78,1811.23,3.984,-10.159200000000055,43.32611952,-53.485319520000054,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0004,trend,trend,DOGE,2023-03-29T12:00:00.000Z,2023-04-04T00:00:00.000Z,0.076,0.09601,94377.723,1888.4982372299992,48.70173639969,1839.7965008303092,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off|idle-extra,trend-switch
retq22-0005,trend,trend,INJ,2023-04-04T00:00:00.000Z,2023-04-22T12:00:00.000Z,5.872,7.224,1534.82,2075.076640000001,60.30000815999999,2014.776631840001,37,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0006,trend,trend,INJ,2023-04-26T00:00:00.000Z,2023-05-01T12:00:00.000Z,8.272,7.818,1333.08,-605.2183200000018,64.3477716,-669.5660916000018,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,off22-strong
retq22-0007,trend,trend,INJ,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,7.085,7.545,1461.92,672.4832000000006,64.1636688,608.3195312000006,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0008,trend,trend,ETH,2023-06-25T12:00:00.000Z,2023-07-01T00:00:00.000Z,1918.37,1933.8,5.716,88.19787999999971,66.05701116,22.140868839999712,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0009,trend,trend,INJ,2023-07-01T00:00:00.000Z,2023-07-06T12:00:00.000Z,8.024,8.321,1369.41,406.7147700000005,67.14901935,339.5657506500005,11,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0010,trend,trend,SOL,2023-07-06T12:00:00.000Z,2023-07-17T12:00:00.000Z,19.89,27.14,569.51,4128.947499999998,80.3521659,4048.5953340999986,22,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0011,trend,trend,ETH,2023-07-17T12:00:00.000Z,2023-07-18T12:00:00.000Z,1910.09,1894.15,8.05,-128.31699999999728,91.87239600000001,-220.1893959999973,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0012,trend,trend,SOL,2023-07-23T00:00:00.000Z,2023-07-24T12:00:00.000Z,24.52,23.62,618.11,-556.2989999999991,89.2674462,-645.5664461999991,3,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,off22-strong
retq22-0013,range,range-reclaim,ETH,2023-07-28T12:00:00.000Z,2023-07-30T00:00:00.000Z,1866.63,1880.45,7.773000000000001,107.42285999999876,87.37815852000001,20.04470147999875,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0014,range,range-reclaim,ETH,2023-08-03T00:00:00.000Z,2023-08-04T12:00:00.000Z,1839.9,1834.6,7.897,-41.85410000000229,87.05257950000001,-128.9066795000023,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0015,range,range-reclaim,ETH,2023-08-08T12:00:00.000Z,2023-08-10T00:00:00.000Z,1839.08,1855.36,7.83,127.47239999999874,86.7823956,40.69000439999874,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
