time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-19T00:00:00.000Z,BAT,enter,trend,expanded-universe,1,0.3078,32488.600000000002,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0001
2023-02-26T00:00:00.000Z,BAT,exit,trend,expanded-universe,1,0.292,32488.600000000002,sma-break,retq22-0001
2023-03-18T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,1813.16,5.199,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0002
2023-04-04T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,1810.51,5.199,trend-switch,retq22-0002
2023-04-04T00:00:00.000Z,BAT,enter,trend,expanded-universe,1,0.2733,34240.4,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0003
2023-04-15T00:00:00.000Z,BAT,exit,trend,expanded-universe,1,0.2856,34240.4,trend-switch,retq22-0003
2023-04-15T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,24.72,393.27,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0004
2023-04-21T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,22.02,393.27,sma-break,retq22-0004
2023-05-29T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,1908.64,4.508,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0005
2023-05-29T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,1903.26,4.508,risk-off,retq22-0005
2023-06-25T12:00:00.000Z,BAT,enter,trend,expanded-universe,1,0.2017,42285,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0006
2023-07-01T00:00:00.000Z,BAT,exit,trend,expanded-universe,1,0.1997,42285,trend-switch,retq22-0006
2023-07-01T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,18.85,445.27,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0007
2023-07-24T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,23.62,445.27,off22-strong,retq22-0007
2023-10-02T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,23.83,438.96000000000004,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0008
2023-10-13T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,21.29,438.96000000000004,sma-break,retq22-0008
2023-10-19T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,23.41,396.67,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0009
2023-11-04T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,41.52,396.67,trend-switch,retq22-0009
2023-11-04T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,1837.49,8.921,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0010
2023-11-10T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,2121.33,8.921,trend-switch,retq22-0010
2023-11-10T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,45.3,415.42,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0011
2023-11-15T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,62.98,415.42,trend-switch,retq22-0011
2023-11-15T12:00:00.000Z,AVAX,enter,trend,expanded-universe,1,19.64,1325.28,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0012
2023-11-26T12:00:00.000Z,AVAX,exit,trend,expanded-universe,1,21.05,1325.28,trend-switch,retq22-0012
2023-11-26T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,2084.65,13.304,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0013
2023-12-02T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,2087.24,13.304,trend-switch,retq22-0013
2023-12-02T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,59.74,462.05,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0014
2023-12-07T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,64.18,462.05,trend-switch,retq22-0014
2023-12-07T12:00:00.000Z,AVAX,enter,trend,expanded-universe,1,26.52,1111.72,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0015
2023-12-24T00:00:00.000Z,AVAX,exit,trend,expanded-universe,1,48.04,1111.72,trend-switch,retq22-0015
2023-12-24T00:00:00.000Z,BAT,enter,trend,expanded-universe,1,0.2542,209121.2,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0016
2023-12-29T12:00:00.000Z,BAT,exit,trend,expanded-universe,1,0.2528,209121.2,trend-switch,retq22-0016
2023-12-29T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,107.56,488.54,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0017
2024-01-06T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,94.45,488.54,sma-break,retq22-0017
2024-01-09T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,2298.77,19.944,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0018
2024-01-13T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,2522.55,19.944,risk-off,retq22-0018
2024-02-11T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,109.71,455.94,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0019
2024-02-17T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,110.32,455.94,trend-switch,retq22-0019
2024-02-17T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,2801.81,17.845,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0020
2024-03-04T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,3506.92,17.845,trend-switch,retq22-0020
2024-03-04T12:00:00.000Z,BAT,enter,trend,expanded-universe,1,0.3307,188217.80000000002,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0021
2024-03-15T12:00:00.000Z,BAT,exit,trend,expanded-universe,1,0.3288,188217.80000000002,trend-switch,retq22-0021
2024-03-15T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,170,361.84000000000003,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0022
2024-04-02T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,179.87,361.84000000000003,sma-break,retq22-0022
2024-04-12T00:00:00.000Z,BAT,enter,trend,expanded-universe,1,0.3246,199338.30000000002,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0023
2024-04-13T00:00:00.000Z,BAT,exit,trend,expanded-universe,1,0.286,199338.30000000002,risk-off,retq22-0023
2024-05-20T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,177.72,318.73,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0024
2024-05-26T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,168.35,318.73,trend-switch,retq22-0024
2024-05-26T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,3749.25,14.223,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0025
2024-06-09T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,3681.58,14.223,sma-break,retq22-0025
2024-07-20T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,169.12,307.76,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0026
2024-08-02T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,164.36,307.76,sma-break,retq22-0026
2024-08-27T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,154.26,325.91,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0027
2024-08-28T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,146.78,325.91,risk-off,retq22-0027
2024-09-18T12:00:00.000Z,BAT,enter,trend,expanded-universe,1,0.1719,276577.60000000003,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0028
2024-09-29T12:00:00.000Z,BAT,exit,trend,expanded-universe,1,0.1907,276577.60000000003,trend-switch,retq22-0028
2024-09-29T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,156.76,334.54,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0029
2024-10-03T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,140.18,334.54,sma-break,retq22-0029
2024-10-16T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,154.76,301.09000000000003,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0030
2024-11-03T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,163.62,301.09000000000003,sma-break,retq22-0030
2024-11-07T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,186.59,262.48,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0031
2024-11-12T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,211.12,262.48,trend-switch,retq22-0031
2024-11-12T12:00:00.000Z,AVAX,enter,trend,expanded-universe,1,34.43,1600.44,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0032
2024-11-18T00:00:00.000Z,AVAX,exit,trend,expanded-universe,1,34.72,1600.44,trend-switch,retq22-0032
2024-11-18T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,237.47,232.59,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0033
2024-11-23T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,256.13,232.59,trend-switch,retq22-0033
