trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,expanded-universe,BAT,2023-02-19T00:00:00.000Z,2023-02-26T00:00:00.000Z,0.3078,0.292,32488.600000000002,-513.3198800000009,58.45998684000001,-571.779866840001,14,expanded-trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0002,trend,expanded-universe,ETH,2023-03-18T12:00:00.000Z,2023-04-04T00:00:00.000Z,1813.16,1810.51,5.199,-13.777350000002116,56.51838099,-70.29573099000211,33,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0003,trend,expanded-universe,BAT,2023-04-04T00:00:00.000Z,2023-04-15T00:00:00.000Z,0.2733,0.2856,34240.4,421.15691999999945,57.41087868,363.74604131999945,22,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0004,trend,expanded-universe,SOL,2023-04-15T00:00:00.000Z,2023-04-21T12:00:00.000Z,24.72,22.02,393.27,-1061.8289999999997,55.1443194,-1116.9733193999998,13,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
retq22-0005,trend,expanded-universe,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,4.508,-24.2530399999996,51.5521356,-75.8051755999996,1,expanded-trend-close>sma40|mom20-ok|retq22-off,risk-off
retq22-0006,trend,expanded-universe,BAT,2023-06-25T12:00:00.000Z,2023-07-01T00:00:00.000Z,0.2017,0.1997,42285,-84.56999999999971,50.919597,-135.48959699999972,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0007,trend,expanded-universe,SOL,2023-07-01T00:00:00.000Z,2023-07-24T12:00:00.000Z,18.85,23.62,445.27,2123.937900000001,56.7318507,2067.206049300001,47,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,off22-strong
retq22-0008,trend,expanded-universe,SOL,2023-10-02T12:00:00.000Z,2023-10-13T00:00:00.000Z,23.83,21.29,438.96000000000004,-1114.9584000000013,59.4176256,-1174.3760256000014,21,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
retq22-0009,trend,expanded-universe,SOL,2023-10-19T00:00:00.000Z,2023-11-04T12:00:00.000Z,23.41,41.52,396.67,7183.693700000002,77.2673493,7106.426350700001,33,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0010,trend,expanded-universe,ETH,2023-11-04T12:00:00.000Z,2023-11-10T00:00:00.000Z,1837.49,2121.33,8.921,2532.136639999997,105.94989966,2426.186740339997,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0011,trend,expanded-universe,SOL,2023-11-10T00:00:00.000Z,2023-11-15T12:00:00.000Z,45.3,62.98,415.42,7344.625600000003,134.9450328,7209.680567200003,11,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0012,trend,expanded-universe,AVAX,2023-11-15T12:00:00.000Z,2023-11-26T12:00:00.000Z,19.64,21.05,1325.28,1868.6447999999982,161.77692960000002,1706.867870399998,22,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,trend-switch
retq22-0013,trend,expanded-universe,ETH,2023-11-26T12:00:00.000Z,2023-12-02T00:00:00.000Z,2084.65,2087.24,13.304,34.4573599999967,166.50847368,-132.0511136800033,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0014,trend,expanded-universe,SOL,2023-12-02T00:00:00.000Z,2023-12-07T12:00:00.000Z,59.74,64.18,462.05,2051.5020000000004,171.77170800000002,1879.7302920000004,11,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0015,trend,expanded-universe,AVAX,2023-12-07T12:00:00.000Z,2023-12-24T00:00:00.000Z,26.52,48.04,1111.72,23924.2144,248.66952959999998,23675.5448704,33,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,trend-switch
retq22-0016,trend,expanded-universe,BAT,2023-12-24T00:00:00.000Z,2023-12-29T12:00:00.000Z,0.2542,0.2528,209121.2,-292.76967999999033,318.0733452,-610.8430251999903,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0017,trend,expanded-universe,SOL,2023-12-29T12:00:00.000Z,2024-01-06T12:00:00.000Z,107.56,94.45,488.54,-6404.759400000003,296.0698962,-6700.829296200002,16,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
retq22-0018,trend,expanded-universe,ETH,2024-01-09T12:00:00.000Z,2024-01-13T00:00:00.000Z,2298.77,2522.55,19.944,4463.068320000006,288.46921824000003,4174.599101760005,7,expanded-trend-close>sma40|mom20-ok|retq22-off,risk-off
retq22-0019,trend,expanded-universe,SOL,2024-02-11T12:00:00.000Z,2024-02-17T00:00:00.000Z,109.71,110.32,455.94,278.12339999999676,300.96143459999996,-22.838034600003198,11,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0020,trend,expanded-universe,ETH,2024-02-17T00:00:00.000Z,2024-03-04T12:00:00.000Z,2801.81,3506.92,17.845,12582.68795,337.73786055,12244.95008945,33,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0021,trend,expanded-universe,BAT,2024-03-04T12:00:00.000Z,2024-03-15T12:00:00.000Z,0.3307,0.3288,188217.80000000002,-357.61382000000594,372.3889173,-730.002737300006,22,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0022,trend,expanded-universe,SOL,2024-03-15T12:00:00.000Z,2024-04-02T12:00:00.000Z,170,179.87,361.84000000000003,3571.360800000002,379.79088240000004,3191.569917600002,36,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
