time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-19T00:00:00.000Z,BAT,enter,trend,expanded-universe,1,0.3078,32488.600000000002,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0001
2023-02-26T00:00:00.000Z,BAT,exit,trend,expanded-universe,1,0.292,32488.600000000002,sma-break,retq22-0001
2023-03-18T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,1813.16,5.199,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0002
2023-03-29T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,1811.23,5.199,trend-switch,retq22-0002
2023-03-29T12:00:00.000Z,ZEC,enter,trend,expanded-universe,1,37.9,247.00900000000001,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0003
2023-04-04T00:00:00.000Z,ZEC,exit,trend,expanded-universe,1,36.4,247.00900000000001,trend-switch,retq22-0003
2023-04-04T00:00:00.000Z,BAT,enter,trend,expanded-universe,1,0.2733,32696.9,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0004
2023-04-15T00:00:00.000Z,BAT,exit,trend,expanded-universe,1,0.2856,32696.9,trend-switch,retq22-0004
2023-04-15T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,24.72,375.54,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0005
2023-04-21T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,22.02,375.54,sma-break,retq22-0005
2023-05-29T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,1908.64,4.305,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0006
2023-05-29T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,1903.26,4.305,risk-off,retq22-0006
2023-06-25T12:00:00.000Z,BAT,enter,trend,expanded-universe,1,0.2017,40378.9,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0007
2023-07-01T00:00:00.000Z,BAT,exit,trend,expanded-universe,1,0.1997,40378.9,trend-switch,retq22-0007
2023-07-01T00:00:00.000Z,ZEC,enter,trend,expanded-universe,1,33.83,236.921,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0008
2023-07-06T12:00:00.000Z,ZEC,exit,trend,expanded-universe,1,32.6,236.921,trend-switch,retq22-0008
2023-07-06T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,19.89,385.94,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0009
2023-07-24T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,23.62,385.94,off22-strong,retq22-0009
2023-10-02T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,23.83,380.42,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0010
2023-10-13T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,21.29,380.42,sma-break,retq22-0010
2023-10-19T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,23.41,343.77,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0011
2023-11-04T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,41.52,343.77,trend-switch,retq22-0011
2023-11-04T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,1837.49,7.731,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0012
2023-11-10T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,2121.33,7.731,trend-switch,retq22-0012
2023-11-10T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,45.3,360.02,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0013
2023-11-15T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,62.98,360.02,trend-switch,retq22-0013
2023-11-15T12:00:00.000Z,AVAX,enter,trend,expanded-universe,1,19.64,1148.53,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0014
2023-11-26T12:00:00.000Z,AVAX,exit,trend,expanded-universe,1,21.05,1148.53,trend-switch,retq22-0014
2023-11-26T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,2084.65,11.53,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0015
2023-12-02T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,2087.24,11.53,trend-switch,retq22-0015
2023-12-02T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,59.74,400.43,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0016
2023-12-07T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,64.18,400.43,trend-switch,retq22-0016
2023-12-07T12:00:00.000Z,AVAX,enter,trend,expanded-universe,1,26.52,963.46,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0017
2023-12-24T00:00:00.000Z,AVAX,exit,trend,expanded-universe,1,48.04,963.46,trend-switch,retq22-0017
2023-12-24T00:00:00.000Z,BAT,enter,trend,expanded-universe,1,0.2542,181232.40000000002,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0018
2023-12-29T12:00:00.000Z,BAT,exit,trend,expanded-universe,1,0.2528,181232.40000000002,trend-switch,retq22-0018
2023-12-29T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,107.56,423.39,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0019
2024-01-06T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,94.45,423.39,sma-break,retq22-0019
2024-01-09T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,2298.77,17.284,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0020
2024-01-13T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,2522.55,17.284,risk-off,retq22-0020
2024-02-11T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,109.71,395.13,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0021
2024-02-17T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,110.32,395.13,trend-switch,retq22-0021
2024-02-17T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,2801.81,15.465,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0022
2024-02-22T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,2990.8,15.465,trend-switch,retq22-0022
2024-02-22T12:00:00.000Z,ZEC,enter,trend,expanded-universe,1,28.25,1627.776,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0023
2024-03-04T12:00:00.000Z,ZEC,exit,trend,expanded-universe,1,32.32,1627.776,trend-switch,retq22-0023
2024-03-04T12:00:00.000Z,BAT,enter,trend,expanded-universe,1,0.3307,158191.5,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0024
2024-03-15T12:00:00.000Z,BAT,exit,trend,expanded-universe,1,0.3288,158191.5,trend-switch,retq22-0024
2024-03-15T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,170,304.11,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0025
2024-04-02T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,179.87,304.11,sma-break,retq22-0025
2024-04-12T00:00:00.000Z,BAT,enter,trend,expanded-universe,1,0.3246,167537.7,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0026
2024-04-13T00:00:00.000Z,BAT,exit,trend,expanded-universe,1,0.286,167537.7,risk-off,retq22-0026
2024-05-20T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,177.72,267.88,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0027
2024-05-26T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,168.35,267.88,trend-switch,retq22-0027
2024-05-26T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,3749.25,11.954,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0028
2024-05-31T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,3802.62,11.954,trend-switch,retq22-0028
2024-05-31T12:00:00.000Z,ZEC,enter,trend,expanded-universe,1,26.79,1686.746,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0029
2024-06-06T00:00:00.000Z,ZEC,exit,trend,expanded-universe,1,26.52,1686.746,trend-switch,retq22-0029
2024-06-06T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,3866,11.5,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0030
2024-06-09T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,3681.58,11.5,sma-break,retq22-0030
2024-07-20T00:00:00.000Z,ZEC,enter,trend,expanded-universe,1,29.51,1426.008,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0031
2024-07-25T12:00:00.000Z,ZEC,exit,trend,expanded-universe,1,30.03,1426.008,trend-switch,retq22-0031
2024-07-25T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,168.81,252.16,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0032
2024-07-31T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,179.16,252.16,trend-switch,retq22-0032
2024-07-31T00:00:00.000Z,ZEC,enter,trend,expanded-universe,1,32.14,1397.478,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0033
2024-08-03T00:00:00.000Z,ZEC,exit,trend,expanded-universe,1,32.67,1397.478,risk-off,retq22-0033
