time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-19T00:00:00.000Z,DASH,enter,trend,expanded-universe,1,72.01,138.869,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0001
2023-03-01T00:00:00.000Z,DASH,exit,trend,expanded-universe,1,71.72,138.869,off22-strong,retq22-0001
2023-03-02T00:00:00.000Z,DASH,enter,trend,expanded-universe,1,74.1,133.601,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0002
2023-03-03T12:00:00.000Z,DASH,exit,trend,expanded-universe,1,68.97,133.601,risk-off,retq22-0002
2023-03-18T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,1813.16,5.05,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0003
2023-03-24T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,1813.78,5.05,trend-switch,retq22-0003
2023-03-24T00:00:00.000Z,DASH,enter,trend,expanded-universe,1,63.5,143.39000000000001,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0004
2023-03-28T00:00:00.000Z,DASH,exit,trend,expanded-universe,1,56.06,143.39000000000001,sma-break,retq22-0004
2023-03-29T12:00:00.000Z,ZEC,enter,trend,expanded-universe,1,37.9,210.74,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0005
2023-04-04T00:00:00.000Z,ZEC,exit,trend,expanded-universe,1,36.4,210.74,trend-switch,retq22-0005
2023-04-04T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,1810.51,4.21,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0006
2023-04-15T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,2099.99,4.21,trend-switch,retq22-0006
2023-04-15T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,24.72,355.71,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0007
2023-04-21T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,22.02,355.71,sma-break,retq22-0007
2023-05-29T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,1908.64,4.077,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0008
2023-05-29T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,1903.26,4.077,risk-off,retq22-0008
2023-06-25T12:00:00.000Z,ZEC,enter,trend,expanded-universe,1,30.17,255.699,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0009
2023-07-06T12:00:00.000Z,ZEC,exit,trend,expanded-universe,1,32.6,255.699,trend-switch,retq22-0009
2023-07-06T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,19.89,416.67,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0010
2023-07-24T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,23.62,416.67,off22-strong,retq22-0010
2023-10-02T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,23.83,410.71000000000004,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0011
2023-10-13T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,21.29,410.71000000000004,sma-break,retq22-0011
2023-10-19T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,23.41,371.15000000000003,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0012
2023-11-04T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,41.52,371.15000000000003,trend-switch,retq22-0012
2023-11-04T12:00:00.000Z,DASH,enter,trend,expanded-universe,1,29.53,519.399,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0013
2023-11-10T00:00:00.000Z,DASH,exit,trend,expanded-universe,1,30.48,519.399,trend-switch,retq22-0013
2023-11-10T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,45.3,347.41,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0014
2023-11-15T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,62.98,347.41,trend-switch,retq22-0014
2023-11-15T12:00:00.000Z,AVAX,enter,trend,expanded-universe,1,19.64,1108.3,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0015
2023-11-26T12:00:00.000Z,AVAX,exit,trend,expanded-universe,1,21.05,1108.3,trend-switch,retq22-0015
2023-11-26T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,2084.65,11.126,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0016
