trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,expanded-universe,DASH,2023-02-19T00:00:00.000Z,2023-03-01T00:00:00.000Z,72.01,71.72,138.869,-40.27201000000059,59.87892411,-100.15093411000059,20,expanded-trend-close>sma40|mom20-ok|retq22-off,off22-strong
retq22-0002,trend,expanded-universe,DASH,2023-03-02T00:00:00.000Z,2023-03-03T12:00:00.000Z,74.1,68.97,133.601,-685.37313,57.342885210000006,-742.7160152099999,3,expanded-trend-close>sma40|mom20-ok|retq22-off,risk-off
retq22-0003,trend,expanded-universe,ETH,2023-03-18T12:00:00.000Z,2023-03-24T00:00:00.000Z,1813.16,1813.78,5.05,3.1309999999994034,54.94814100000001,-51.8171410000006,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0004,trend,expanded-universe,DASH,2023-03-24T00:00:00.000Z,2023-03-28T00:00:00.000Z,63.5,56.06,143.39000000000001,-1066.8216000000002,51.43112520000001,-1118.2527252000002,8,expanded-trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0005,trend,expanded-universe,ZEC,2023-03-29T12:00:00.000Z,2023-04-04T00:00:00.000Z,37.9,36.4,210.74,-316.1100000000006,46.973946,-363.0839460000006,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0006,trend,expanded-universe,ETH,2023-04-04T00:00:00.000Z,2023-04-15T00:00:00.000Z,1810.51,2099.99,4.21,1218.7107999999998,49.38961499999999,1169.3211849999998,22,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0007,trend,expanded-universe,SOL,2023-04-15T00:00:00.000Z,2023-04-21T12:00:00.000Z,24.72,22.02,355.71,-960.4169999999995,49.87765619999999,-1010.2946561999995,13,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
retq22-0008,trend,expanded-universe,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,4.077,-21.934260000000904,46.623348899999996,-68.5576089000009,1,expanded-trend-close>sma40|mom20-ok|retq22-off,risk-off
retq22-0009,trend,expanded-universe,ZEC,2023-06-25T12:00:00.000Z,2023-07-06T12:00:00.000Z,30.17,32.6,255.699,621.3485700000001,48.15067869000001,573.1978913100002,22,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0010,trend,expanded-universe,SOL,2023-07-06T12:00:00.000Z,2023-07-24T12:00:00.000Z,19.89,23.62,416.67,1554.1791000000012,54.38793510000001,1499.7911649000011,36,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,off22-strong
