time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-19T00:00:00.000Z,ETH,enter,trend,strict6,1,1691.62,5.9110000000000005,trend-close>sma40|mom20-ok|retq22-off,retq22-0001
2023-02-24T12:00:00.000Z,ETH,exit,trend,trend,1,1647.43,5.9110000000000005,trend-switch,retq22-0001
2023-02-24T12:00:00.000Z,SOL,enter,trend,strict6,1,23.79,406.87,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0002
2023-02-25T00:00:00.000Z,SOL,exit,trend,trend,1,23.07,406.87,sma-break,retq22-0002
2023-03-07T12:00:00.000Z,SOL,enter,range,range-primary,0.5,20.31,229.67000000000002,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,retq22-0003
2023-03-15T12:00:00.000Z,SOL,exit,range,range-primary,0.5,20.59,229.67000000000002,range-time,retq22-0003
2023-03-18T12:00:00.000Z,ETH,enter,trend,strict6,1,1813.16,5.165,trend-close>sma40|mom20-ok|retq22-off,retq22-0004
2023-04-15T00:00:00.000Z,ETH,exit,trend,trend,1,2099.99,5.165,trend-switch,retq22-0004
2023-04-15T00:00:00.000Z,SOL,enter,trend,strict6,1,24.72,436.34000000000003,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0005
2023-04-21T12:00:00.000Z,SOL,exit,trend,trend,1,22.02,436.34000000000003,sma-break,retq22-0005
2023-05-29T00:00:00.000Z,ETH,enter,trend,strict6,1,1908.64,5.002,trend-close>sma40|mom20-ok|retq22-off,retq22-0006
2023-05-29T12:00:00.000Z,ETH,exit,trend,trend,1,1903.26,5.002,risk-off,retq22-0006
2023-06-09T00:00:00.000Z,SOL,enter,range,range-primary,0.5,18.88,250.6,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,retq22-0007
2023-06-17T00:00:00.000Z,SOL,exit,range,range-primary,0.5,15.32,250.6,range-time,retq22-0007
2023-06-25T12:00:00.000Z,ETH,enter,trend,strict6,1,1918.37,4.454,trend-close>sma40|mom20-ok|retq22-off,retq22-0008
2023-07-01T00:00:00.000Z,ETH,exit,trend,trend,1,1933.8,4.454,trend-switch,retq22-0008
2023-07-01T00:00:00.000Z,SOL,enter,trend,strict6,1,18.85,454.23,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0009
2023-07-24T12:00:00.000Z,SOL,exit,trend,trend,1,23.62,454.23,off22-strong,retq22-0009
2023-08-03T00:00:00.000Z,SOL,enter,range,range-primary,0.5,23.14,230.57,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,retq22-0010
2023-08-09T12:00:00.000Z,SOL,exit,range,range-primary,0.5,24.85,230.57,mean-revert,retq22-0010
2023-10-02T12:00:00.000Z,SOL,enter,trend,strict6,1,23.83,462.95,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0011
2023-10-13T00:00:00.000Z,SOL,exit,trend,trend,1,21.29,462.95,sma-break,retq22-0011
2023-10-19T00:00:00.000Z,SOL,enter,trend,strict6,1,23.41,418.35,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0012
2023-11-04T12:00:00.000Z,SOL,exit,trend,trend,1,41.52,418.35,trend-switch,retq22-0012
2023-11-04T12:00:00.000Z,ETH,enter,trend,strict6,1,1837.49,9.408,trend-close>sma40|mom20-ok|retq22-off,retq22-0013
2023-11-10T00:00:00.000Z,ETH,exit,trend,trend,1,2121.33,9.408,trend-switch,retq22-0013
2023-11-10T00:00:00.000Z,SOL,enter,trend,strict6,1,45.3,438.12,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0014
2023-11-15T12:00:00.000Z,SOL,exit,trend,trend,1,62.98,438.12,trend-switch,retq22-0014
2023-11-15T12:00:00.000Z,AVAX,enter,trend,strict6,1,19.64,1397.69,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0015
2023-11-26T12:00:00.000Z,AVAX,exit,trend,trend,1,21.05,1397.69,trend-switch,retq22-0015
2023-11-26T12:00:00.000Z,ETH,enter,trend,strict6,1,2084.65,14.031,trend-close>sma40|mom20-ok|retq22-off,retq22-0016
2023-12-02T00:00:00.000Z,ETH,exit,trend,trend,1,2087.24,14.031,trend-switch,retq22-0016
2023-12-02T00:00:00.000Z,SOL,enter,trend,strict6,1,59.74,487.3,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0017
2023-12-07T12:00:00.000Z,SOL,exit,trend,trend,1,64.18,487.3,trend-switch,retq22-0017
2023-12-07T12:00:00.000Z,AVAX,enter,trend,strict6,1,26.52,1172.47,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0018
2023-12-24T00:00:00.000Z,AVAX,exit,trend,trend,1,48.04,1172.47,trend-switch,retq22-0018
2023-12-24T00:00:00.000Z,ETH,enter,trend,strict6,1,2308.2,24.288,trend-close>sma40|mom20-ok|retq22-off,retq22-0019
2023-12-26T12:00:00.000Z,ETH,exit,trend,trend,1,2242.6,24.288,sma-break,retq22-0019
2023-12-29T12:00:00.000Z,SOL,enter,trend,strict6,1,107.56,503.33,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0020
2024-01-06T12:00:00.000Z,SOL,exit,trend,trend,1,94.45,503.33,sma-break,retq22-0020
2024-01-09T12:00:00.000Z,ETH,enter,trend,strict6,1,2298.77,20.547,trend-close>sma40|mom20-ok|retq22-off,retq22-0021
2024-01-13T00:00:00.000Z,ETH,exit,trend,trend,1,2522.55,20.547,risk-off,retq22-0021
2024-02-11T12:00:00.000Z,SOL,enter,trend,strict6,1,109.71,469.74,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0022
2024-02-17T00:00:00.000Z,SOL,exit,trend,trend,1,110.32,469.74,trend-switch,retq22-0022
2024-02-17T00:00:00.000Z,ETH,enter,trend,strict6,1,2801.81,18.385,trend-close>sma40|mom20-ok|retq22-off,retq22-0023
2024-03-04T12:00:00.000Z,ETH,exit,trend,trend,1,3506.92,18.385,trend-switch,retq22-0023
2024-03-04T12:00:00.000Z,SOL,enter,trend,strict6,1,132.59,483.65000000000003,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0024
2024-04-02T12:00:00.000Z,SOL,exit,trend,trend,1,179.87,483.65000000000003,sma-break,retq22-0024
2024-05-15T00:00:00.000Z,ETH,enter,range,range-primary,0.5,2881.93,15.014000000000001,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,retq22-0025
2024-05-18T00:00:00.000Z,ETH,exit,range,range-primary,0.5,3092,15.014000000000001,mean-revert,retq22-0025
2024-05-20T12:00:00.000Z,SOL,enter,trend,strict6,1,177.72,503.18,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0026
2024-05-26T00:00:00.000Z,SOL,exit,trend,trend,1,168.35,503.18,trend-switch,retq22-0026
2024-05-26T00:00:00.000Z,ETH,enter,trend,strict6,1,3749.25,22.454,trend-close>sma40|mom20-ok|retq22-off,retq22-0027
2024-06-09T00:00:00.000Z,ETH,exit,trend,trend,1,3681.58,22.454,sma-break,retq22-0027
2024-06-17T00:00:00.000Z,SOL,enter,range,range-primary,0.5,151.3,271.54,range-close<sma45|mom20-ok|pullback-ok|mean-revert|range-fallback,retq22-0028
2024-06-25T00:00:00.000Z,SOL,exit,range,range-primary,0.5,132.34,271.54,range-time,retq22-0028
2024-07-20T00:00:00.000Z,SOL,enter,trend,strict6,1,169.12,454.05,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0029
2024-08-02T12:00:00.000Z,SOL,exit,trend,trend,1,164.36,454.05,sma-break,retq22-0029
2024-08-27T12:00:00.000Z,SOL,enter,trend,strict6,1,154.26,480.83,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0030
2024-08-28T00:00:00.000Z,SOL,exit,trend,trend,1,146.78,480.83,risk-off,retq22-0030
2024-09-24T00:00:00.000Z,ETH,enter,trend,strict6,1,2646.98,26.499,trend-close>sma40|mom20-ok|retq22-off,retq22-0031
2024-09-29T12:00:00.000Z,ETH,exit,trend,trend,1,2652.49,26.499,trend-switch,retq22-0031
2024-09-29T12:00:00.000Z,SOL,enter,trend,strict6,1,156.76,445.69,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0032
2024-10-03T00:00:00.000Z,SOL,exit,trend,trend,1,140.18,445.69,sma-break,retq22-0032
2024-10-16T00:00:00.000Z,SOL,enter,trend,strict6,1,154.76,401.14,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0033
2024-11-03T12:00:00.000Z,SOL,exit,trend,trend,1,163.62,401.14,sma-break,retq22-0033
2024-11-07T00:00:00.000Z,SOL,enter,trend,strict6,1,186.59,349.7,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0034
2024-11-12T12:00:00.000Z,SOL,exit,trend,trend,1,211.12,349.7,trend-switch,retq22-0034
2024-11-12T12:00:00.000Z,AVAX,enter,trend,strict6,1,34.43,2132.2400000000002,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0035
2024-11-18T00:00:00.000Z,AVAX,exit,trend,trend,1,34.72,2132.2400000000002,trend-switch,retq22-0035
2024-11-18T00:00:00.000Z,SOL,enter,trend,strict6,1,237.47,309.88,trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0036
2024-11-23T12:00:00.000Z,SOL,exit,trend,trend,1,256.13,309.88,trend-switch,retq22-0036
2024-11-23T12:00:00.000Z,AVAX,enter,trend,strict6,1,42.31,1865.1000000000001,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0037
2024-11-29T00:00:00.000Z,AVAX,exit,trend,trend,1,42.78,1865.1000000000001,trend-switch,retq22-0037
2024-11-29T00:00:00.000Z,ETH,enter,trend,strict6,1,3578.8,22.161,trend-close>sma40|mom20-ok|retq22-off,retq22-0038
2024-12-04T12:00:00.000Z,ETH,exit,trend,trend,1,3729.09,22.161,trend-switch,retq22-0038
