time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-19T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,1691.62,5.9110000000000005,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0001
2023-02-24T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,1647.43,5.9110000000000005,trend-switch,retq22-0001
2023-02-24T12:00:00.000Z,ZEC,enter,trend,expanded-universe,1,47.9,202.078,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0002
2023-02-25T00:00:00.000Z,ZEC,exit,trend,expanded-universe,1,45.2,202.078,sma-break,retq22-0002
2023-03-18T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,1813.16,5.006,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0003
2023-03-29T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,1811.23,5.006,trend-switch,retq22-0003
2023-03-29T12:00:00.000Z,ZEC,enter,trend,expanded-universe,1,37.9,237.821,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0004
2023-04-04T00:00:00.000Z,ZEC,exit,trend,expanded-universe,1,36.4,237.821,trend-switch,retq22-0004
2023-04-04T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,1810.51,4.752,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0005
2023-04-15T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,2099.99,4.752,trend-switch,retq22-0005
2023-04-15T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,24.72,401.43,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0006
2023-04-21T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,22.02,401.43,sma-break,retq22-0006
2023-05-29T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,1908.64,4.601,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0007
2023-05-29T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,1903.26,4.601,risk-off,retq22-0007
2023-06-25T12:00:00.000Z,ZEC,enter,trend,expanded-universe,1,30.17,288.56600000000003,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0008
2023-07-06T12:00:00.000Z,ZEC,exit,trend,expanded-universe,1,32.6,288.56600000000003,trend-switch,retq22-0008
2023-07-06T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,19.89,470.23,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0009
2023-07-24T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,23.62,470.23,off22-strong,retq22-0009
2023-10-02T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,23.83,463.51,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0010
2023-10-13T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,21.29,463.51,sma-break,retq22-0010
2023-10-19T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,23.41,418.85,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0011
2023-11-04T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,41.52,418.85,trend-switch,retq22-0011
2023-11-04T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,1837.49,9.42,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0012
2023-11-10T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,2121.33,9.42,trend-switch,retq22-0012
2023-11-10T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,45.3,438.65000000000003,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0013
2023-11-15T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,62.98,438.65000000000003,trend-switch,retq22-0013
2023-11-15T12:00:00.000Z,AVAX,enter,trend,expanded-universe,1,19.64,1399.38,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0014
2023-11-26T12:00:00.000Z,AVAX,exit,trend,expanded-universe,1,21.05,1399.38,trend-switch,retq22-0014
2023-11-26T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,2084.65,14.048,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0015
2023-12-02T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,2087.24,14.048,trend-switch,retq22-0015
2023-12-02T00:00:00.000Z,SOL,enter,trend,expanded-universe,1,59.74,487.89,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0016
2023-12-07T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,64.18,487.89,trend-switch,retq22-0016
2023-12-07T12:00:00.000Z,AVAX,enter,trend,expanded-universe,1,26.52,1173.89,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,retq22-0017
2023-12-24T00:00:00.000Z,AVAX,exit,trend,expanded-universe,1,48.04,1173.89,trend-switch,retq22-0017
2023-12-24T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,2308.2,24.318,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0018
2023-12-26T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,2242.6,24.318,sma-break,retq22-0018
2023-12-29T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,107.56,503.94,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0019
2024-01-06T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,94.45,503.94,sma-break,retq22-0019
2024-01-09T12:00:00.000Z,ETH,enter,trend,expanded-universe,1,2298.77,20.572,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0020
2024-01-13T00:00:00.000Z,ETH,exit,trend,expanded-universe,1,2522.55,20.572,risk-off,retq22-0020
2024-02-11T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,109.71,470.31,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0021
2024-02-17T00:00:00.000Z,SOL,exit,trend,expanded-universe,1,110.32,470.31,trend-switch,retq22-0021
2024-02-17T00:00:00.000Z,ETH,enter,trend,expanded-universe,1,2801.81,18.407,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0022
2024-02-22T12:00:00.000Z,ETH,exit,trend,expanded-universe,1,2990.8,18.407,trend-switch,retq22-0022
2024-02-22T12:00:00.000Z,ZEC,enter,trend,expanded-universe,1,28.25,1937.46,expanded-trend-close>sma40|mom20-ok|retq22-off,retq22-0023
2024-03-04T12:00:00.000Z,ZEC,exit,trend,expanded-universe,1,32.32,1937.46,trend-switch,retq22-0023
2024-03-04T12:00:00.000Z,SOL,enter,trend,expanded-universe,1,132.59,469.61,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,retq22-0024
2024-04-02T12:00:00.000Z,SOL,exit,trend,expanded-universe,1,179.87,469.61,sma-break,retq22-0024
