trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,expanded-universe,ETH,2023-02-19T00:00:00.000Z,2023-02-24T12:00:00.000Z,1691.62,1647.43,5.9110000000000005,-261.2070899999999,59.21137365,-320.41846364999986,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0002,trend,expanded-universe,ZEC,2023-02-24T12:00:00.000Z,2023-02-25T00:00:00.000Z,47.9,45.2,202.078,-545.6106,56.440385400000004,-602.0509854,1,expanded-trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0003,trend,expanded-universe,ETH,2023-03-18T12:00:00.000Z,2023-03-29T12:00:00.000Z,1813.16,1811.23,5.006,-9.661579999999958,54.43108902000001,-64.09266901999996,22,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0004,trend,expanded-universe,ZEC,2023-03-29T12:00:00.000Z,2023-04-04T00:00:00.000Z,37.9,36.4,237.821,-356.73149999999987,53.010300900000004,-409.7418008999999,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0005,trend,expanded-universe,ETH,2023-04-04T00:00:00.000Z,2023-04-15T00:00:00.000Z,1810.51,2099.99,4.752,1375.6089599999996,55.748087999999996,1319.8608719999995,22,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0006,trend,expanded-universe,SOL,2023-04-15T00:00:00.000Z,2023-04-21T12:00:00.000Z,24.72,22.02,401.43,-1083.860999999999,56.2885146,-1140.149514599999,13,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
retq22-0007,trend,expanded-universe,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,4.601,-24.753380000000107,52.615655700000005,-77.36903570000011,1,expanded-trend-close>sma40|mom20-ok|retq22-off,risk-off
retq22-0008,trend,expanded-universe,ZEC,2023-06-25T12:00:00.000Z,2023-07-06T12:00:00.000Z,30.17,32.6,288.56600000000003,701.2153799999996,54.33986346000001,646.8755165399996,22,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0009,trend,expanded-universe,SOL,2023-07-06T12:00:00.000Z,2023-07-24T12:00:00.000Z,19.89,23.62,470.23,1753.9579000000012,61.37912190000001,1692.5787781000013,36,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,off22-strong
retq22-0010,trend,expanded-universe,SOL,2023-10-02T12:00:00.000Z,2023-10-13T00:00:00.000Z,23.83,21.29,463.51,-1177.3153999999995,62.7407136,-1240.0561135999994,21,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break
retq22-0011,trend,expanded-universe,SOL,2023-10-19T00:00:00.000Z,2023-11-04T12:00:00.000Z,23.41,41.52,418.85,7585.3735000000015,81.58779150000001,7503.785708500001,33,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0012,trend,expanded-universe,ETH,2023-11-04T12:00:00.000Z,2023-11-10T00:00:00.000Z,1837.49,2121.33,9.42,2673.772799999999,111.87625320000001,2561.8965467999988,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
retq22-0013,trend,expanded-universe,SOL,2023-11-10T00:00:00.000Z,2023-11-15T12:00:00.000Z,45.3,62.98,438.65000000000003,7755.3319999999985,142.491066,7612.840933999999,11,expanded-trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch
retq22-0014,trend,expanded-universe,AVAX,2023-11-15T12:00:00.000Z,2023-11-26T12:00:00.000Z,19.64,21.05,1399.38,1973.1258000000016,170.82231660000002,1802.3034834000016,22,expanded-trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,trend-switch
retq22-0015,trend,expanded-universe,ETH,2023-11-26T12:00:00.000Z,2023-12-02T00:00:00.000Z,2084.65,2087.24,14.048,36.38431999999375,175.82013216,-139.43581216000626,11,expanded-trend-close>sma40|mom20-ok|retq22-off,trend-switch
