id,family,params,train_trades,train_wins,train_losses,train_ties,train_win_rate,train_expectancy,train_profit_units,train_max_dd_units,train_max_loss_streak,train_positive_month_ratio,train_compound_end,train_compound_return,train_compound_max_dd,validation_trades,validation_wins,validation_losses,validation_ties,validation_win_rate,validation_expectancy,validation_profit_units,validation_max_dd_units,validation_max_loss_streak,validation_positive_month_ratio,validation_compound_end,validation_compound_return,validation_compound_max_dd,neighbor_stability
R001,trend,"{""adx_min"": 15, ""atr_min"": 0.0, ""ret3_min"": 0.0, ""rsi_hi"": 52}",96985,45738,50586,661,0.4748349321041485,-0.14529712221253271,-13995.6,-14002.200000007957,21,0.0,3.018363470894473e-63,-1.0,-1.0,46294,21104,24677,513,0.4609772613092768,-0.17024092964330184,-7793.8,-7802.1999999973705,30,0.0,2.092987924892755e-35,-1.0,-1.0,0.0
R002,trend,"{""adx_min"": 15, ""atr_min"": 0.0006, ""ret3_min"": 0.0, ""rsi_hi"": 52}",93593,44148,48850,595,0.47471988644917096,-0.14550420439149228,-13531.6,-13538.200000006957,21,0.0,3.58779533467558e-61,-1.0,-1.0,45635,20794,24337,504,0.4607476014269571,-0.17065431743147727,-7701.8,-7711.199999997421,30,0.0,5.395548561278916e-35,-1.0,-1.0,0.0
R003,trend,"{""adx_min"": 15, ""atr_min"": 0.001, ""ret3_min"": 0.0, ""rsi_hi"": 52}",83487,39379,43580,528,0.47468026374474137,-0.14557552525946552,-12076.8,-12083.400000003974,21,0.0,1.132594638651361e-54,-1.0,-1.0,42196,19150,22581,465,0.45889147156789917,-0.1739953511777815,-7261.0,-7267.799999997687,30,0.0,5.099400290023385e-33,-1.0,-1.0,0.0
R004,trend,"{""adx_min"": 15, ""atr_min"": 0.0, ""ret3_min"": 0.0005, ""rsi_hi"": 52}",80345,37688,42145,512,0.47208547843623566,-0.15024613881477586,-11994.600000000002,-12003.000000003713,23,0.0,2.922876441289554e-54,-1.0,-1.0,38394,17448,20545,401,0.459242492038007,-0.17336351433158742,-6586.6,-6596.399999998092,28,0.0,5.063341893071262e-30,-1.0,-1.0,0.0
R005,trend,"{""adx_min"": 15, ""atr_min"": 0.0006, ""ret3_min"": 0.0005, ""rsi_hi"": 52}",78790,36975,41327,488,0.4722101606600087,-0.15002171081198437,-11747.0,-11755.400000003312,23,0.0,3.7056285346701275e-53,-1.0,-1.0,38070,17286,20385,399,0.4588675639085769,-0.1740383849645616,-6556.200000000001,-6564.39999999812,28,0.0,6.953443273086976e-30,-1.0,-1.0,0.0
R006,trend,"{""adx_min"": 15, ""atr_min"": 0.001, ""ret3_min"": 0.0005, ""rsi_hi"": 52}",72087,33838,37797,452,0.4723668597752495,-0.14973965240455084,-10726.6,-10735.000000001217,23,0.0,1.3211000989041625e-48,-1.0,-1.0,35867,16218,19271,378,0.45698667192651243,-0.17742399053227761,-6296.6,-6302.599999998294,28,0.0,1.0203398329409424e-28,-1.0,-1.0,0.0
R007,trend,"{""adx_min"": 15, ""atr_min"": 0.0, ""ret3_min"": 0.001, ""rsi_hi"": 52}",64947,30407,34141,399,0.4710757885604511,-0.15206358059118796,-9815.400000000001,-9820.399999999625,22,0.0,1.6053828113167648e-44,-1.0,-1.0,31358,14199,16838,321,0.45748622611721496,-0.17652479298901314,-5478.800000000001,-5484.799999998647,25,0.0,4.380281852729569e-25,-1.0,-1.0,0.0
R008,trend,"{""adx_min"": 15, ""atr_min"": 0.0006, ""ret3_min"": 0.001, ""rsi_hi"": 52}",64467,30203,33872,392,0.4713694888802185,-0.15153492001560673,-9709.600000000002,-9714.599999999506,22,0.0,4.718051874887359e-44,-1.0,-1.0,31251,14144,16786,321,0.45729065632072424,-0.17687681862269644,-5470.800000000001,-5476.799999998657,25,0.0,4.76587526233942e-25,-1.0,-1.0,0.0
R009,trend,"{""adx_min"": 15, ""atr_min"": 0.001, ""ret3_min"": 0.001, ""rsi_hi"": 52}",60704,28463,31867,374,0.4717884966020222,-0.15078070611636002,-9096.6,-9101.599999998169,22,0.0,2.53437965165968e-41,-1.0,-1.0,30024,13551,16162,311,0.45606300272607947,-0.1790865950930569,-5321.200000000001,-5327.199999998756,26,0.0,2.2371015644646224e-24,-1.0,-1.0,0.0
R010,trend,"{""adx_min"": 15, ""atr_min"": 0.0, ""ret3_min"": 0.0, ""rsi_hi"": 55}",87427,41028,45814,585,0.47244420902328366,-0.1496004237580894,-12991.6,-12996.000000005462,25,0.0,1.0221548201839394e-58,-1.0,-1.0,41907,18983,22461,463,0.45803976450149597,-0.17552842389730722,-7274.6,-7282.799999997764,29,0.0,4.50180718863556e-33,-1.0,-1.0,0.0
