decision_i,entry_i,exit_i,side,gross,entry,exit,return,pnl,equity,reason,funding_sum,engine,decision_time,entry_time,exit_time
367,368,404,-1,0.75,0.031613,0.030395,0.028183622613244655,281.8362261324455,10281.836226132446,TIME,0.0002497099999999985,SHORT_PULLBACK,2025-08-18T07:00:00+00:00,2025-08-18T08:00:00+00:00,2025-08-19T20:00:00+00:00
406,407,443,-1,0.75,0.030254,0.030839,-0.015064714583195563,-154.89292813784596,10126.9432979946,TIME,0.0004499999999999973,SHORT_PULLBACK,2025-08-19T22:00:00+00:00,2025-08-19T23:00:00+00:00,2025-08-21T11:00:00+00:00
523,524,560,-1,0.75,0.034657,0.030792,0.08238604646377357,834.3188210845838,10961.262119079183,TIME,-0.00047342000000000044,SHORT_PULLBACK,2025-08-24T19:00:00+00:00,2025-08-24T20:00:00+00:00,2025-08-26T08:00:00+00:00
615,616,652,-1,0.75,0.030207,0.029713,0.011628588954215925,127.46401160219102,11088.726130681374,TIME,0.0003509599999999974,SHORT_PULLBACK,2025-08-28T15:00:00+00:00,2025-08-28T16:00:00+00:00,2025-08-30T04:00:00+00:00
711,712,748,-1,0.75,0.028399,0.030702,-0.061383303549420766,-680.6626420560096,10408.063488625365,TIME,0.0004499999999999973,SHORT_PULLBACK,2025-09-01T15:00:00+00:00,2025-09-01T16:00:00+00:00,2025-09-03T04:00:00+00:00
862,863,875,1,0.75,0.029845,0.03239897,0.0631683510638297,657.460208344115,11065.52369696948,TRAIL,0.0001499999999999991,LONG_BASE_BREAKOUT,2025-09-07T22:00:00+00:00,2025-09-07T23:00:00+00:00,2025-09-08T11:00:00+00:00
1170,1171,1207,-1,0.75,0.034752,0.031048,0.07937534530386736,878.3297644150807,11943.85346138456,TIME,0.0004500000000000012,SHORT_PULLBACK,2025-09-20T18:00:00+00:00,2025-09-20T19:00:00+00:00,2025-09-22T07:00:00+00:00
1424,1425,1433,1,0.75,0.029779,0.031064249999999998,0.031394706840390814,374.97377796475485,12318.827239349315,TRAIL,0.00010000000000000026,LONG_BASE_BREAKOUT,2025-10-01T08:00:00+00:00,2025-10-01T09:00:00+00:00,2025-10-01T17:00:00+00:00
1747,1748,1784,-1,0.75,0.02465,0.023358,0.03842302732758614,473.32663566133124,12792.153875010647,TIME,1.690999999999672e-05,SHORT_PULLBACK,2025-10-14T19:00:00+00:00,2025-10-14T20:00:00+00:00,2025-10-16T08:00:00+00:00
1789,1790,1826,-1,0.75,0.023273,0.021498,0.05602575560767837,716.6900866971628,13508.84396170781,TIME,-0.0003676300000000016,SHORT_PULLBACK,2025-10-16T13:00:00+00:00,2025-10-16T14:00:00+00:00,2025-10-18T02:00:00+00:00
1858,1859,1895,1,0.75,0.022058,0.022502,0.01385906360504125,187.21992769588724,13696.063889403697,TIME,0.0004499999999999973,LONG_BASE_BREAKOUT,2025-10-19T10:00:00+00:00,2025-10-19T11:00:00+00:00,2025-10-20T23:00:00+00:00
1918,1919,1955,-1,0.75,0.021639,0.020563,0.036731275128240586,503.0738908956464,14199.137780299343,TIME,0.0004499999999999973,SHORT_PULLBACK,2025-10-21T22:00:00+00:00,2025-10-21T23:00:00+00:00,2025-10-23T11:00:00+00:00
2010,2011,2047,1,0.75,0.021698,0.023106,0.04743058000737405,673.473340524215,14872.611120823558,TIME,0.0004499999999999973,LONG_BASE_BREAKOUT,2025-10-25T18:00:00+00:00,2025-10-25T19:00:00+00:00,2025-10-27T07:00:00+00:00
2082,2083,2119,-1,0.75,0.02141,0.020525,0.030439368285847607,452.7128872789417,15325.3240081025,TIME,0.0004499999999999973,SHORT_PULLBACK,2025-10-28T18:00:00+00:00,2025-10-28T19:00:00+00:00,2025-10-30T07:00:00+00:00
2122,2123,2159,-1,0.75,0.020244,0.018198,0.07523773710729112,1153.0426988056752,16478.366706908175,TIME,0.0004499999999999973,SHORT_PULLBACK,2025-10-30T10:00:00+00:00,2025-10-30T11:00:00+00:00,2025-10-31T23:00:00+00:00
2227,2228,2264,-1,0.75,0.015522,0.014717,0.03833390510243525,631.6801455857458,17110.04685249392,TIME,0.0004499999999999973,SHORT_PULLBACK,2025-11-03T19:00:00+00:00,2025-11-03T20:00:00+00:00,2025-11-05T08:00:00+00:00
2457,2458,2494,-1,0.75,0.014569,0.01308,0.0760899812959023,1301.9031449782742,18411.949997472195,TIME,0.0004500000000000025,SHORT_PULLBACK,2025-11-13T09:00:00+00:00,2025-11-13T10:00:00+00:00,2025-11-14T22:00:00+00:00
2574,2575,2611,-1,0.75,0.012037,0.011283,0.04641764455429099,854.639350534042,19266.589348006237,TIME,0.0004500000000000129,SHORT_PULLBACK,2025-11-18T06:00:00+00:00,2025-11-18T07:00:00+00:00,2025-11-19T19:00:00+00:00
2639,2640,2676,-1,0.75,0.011488,0.010201,0.08349745821727021,1608.711239074455,20875.300587080692,TIME,0.0005000000000000143,SHORT_PULLBACK,2025-11-20T23:00:00+00:00,2025-11-21T00:00:00+00:00,2025-11-22T12:00:00+00:00
2729,2730,2766,1,0.75,0.010926,0.011218,0.018806431905546362,392.5899189987431,21267.890506079435,TIME,0.0004500000000000129,LONG_BASE_BREAKOUT,2025-11-24T17:00:00+00:00,2025-11-24T18:00:00+00:00,2025-11-26T06:00:00+00:00
2825,2826,2862,-1,0.75,0.011196,0.010773,0.027773512861736353,590.6840305125988,21858.574536592034,TIME,0.0004500000000000129,SHORT_PULLBACK,2025-11-28T17:00:00+00:00,2025-11-28T18:00:00+00:00,2025-11-30T06:00:00+00:00
3024,3025,3038,1,0.75,0.011524,0.01083256,-0.046012499999999956,-1005.7676608649417,20852.806875727092,STOP,0.0001500000000000043,LONG_BASE_BREAKOUT,2025-12-07T00:00:00+00:00,2025-12-07T01:00:00+00:00,2025-12-07T14:00:00+00:00
3144,3145,3181,-1,0.75,0.011113,0.010994,0.0074677197070997705,155.72291685421442,21008.529792581307,TIME,0.0004487800000000097,SHORT_PULLBACK,2025-12-12T00:00:00+00:00,2025-12-12T01:00:00+00:00,2025-12-13T13:00:00+00:00
3186,3187,3189,1,0.75,0.011168,0.011517779999999998,0.022552381805157427,473.7923850473162,21482.322177628623,TRAIL,5.000000000000143e-05,LONG_BASE_BREAKOUT,2025-12-13T18:00:00+00:00,2025-12-13T19:00:00+00:00,2025-12-13T21:00:00+00:00
3219,3220,3256,-1,0.75,0.010564,0.010291,0.018411445430708096,395.5206024982981,21877.84278012692,TIME,-9.388999999999578e-05,SHORT_PULLBACK,2025-12-15T03:00:00+00:00,2025-12-15T04:00:00+00:00,2025-12-16T16:00:00+00:00
3304,3305,3341,-1,0.75,0.009307,0.009297,0.00014577006285589555,3.1891345172116417,21881.031914644132,TIME,0.00031990000000001184,SHORT_PULLBACK,2025-12-18T16:00:00+00:00,2025-12-18T17:00:00+00:00,2025-12-20T05:00:00+00:00
3448,3449,3485,1,0.75,0.009165,0.00914,-0.00325150401391156,-71.14626309899177,21809.88565154514,TIME,0.00040757000000000987,LONG_BASE_BREAKOUT,2025-12-24T16:00:00+00:00,2025-12-24T17:00:00+00:00,2025-12-26T05:00:00+00:00
3519,3520,3556,1,0.75,0.009195,0.0096,0.03188477024877644,695.4031931516001,22505.28884469674,TIME,0.00033265000000000725,LONG_BASE_BREAKOUT,2025-12-27T15:00:00+00:00,2025-12-27T16:00:00+00:00,2025-12-29T04:00:00+00:00
3640,3641,3659,1,0.75,0.009058,0.0099522,0.07298952307352612,1642.6502994063594,24147.9391441031,TRAIL,0.00020000000000000573,LONG_BASE_BREAKOUT,2026-01-01T16:00:00+00:00,2026-01-01T17:00:00+00:00,2026-01-02T11:00:00+00:00
3769,3770,3806,-1,0.75,0.012834,0.01163,0.06965106629967278,1681.9297103263889,25829.86885442949,TIME,0.00025478000000001,SHORT_PULLBACK,2026-01-07T01:00:00+00:00,2026-01-07T02:00:00+00:00,2026-01-08T14:00:00+00:00
3925,3926,3936,1,0.75,0.012338,0.01331519,0.05851660757132425,1511.4762993734184,27341.345153802908,TRAIL,-2.049000000000148e-05,LONG_BASE_BREAKOUT,2026-01-13T13:00:00+00:00,2026-01-13T14:00:00+00:00,2026-01-14T00:00:00+00:00
4028,4029,4065,-1,0.75,0.011936,0.010285,0.10251941668230559,2803.018756477457,30144.363910280365,TIME,-0.00042849000000000706,SHORT_PULLBACK,2026-01-17T20:00:00+00:00,2026-01-17T21:00:00+00:00,2026-01-19T09:00:00+00:00
4265,4266,4302,-1,0.75,0.009442,0.00967,-0.01867306979453495,-562.8878112085258,29581.47609907184,TIME,0.0004500000000000129,SHORT_PULLBACK,2026-01-27T17:00:00+00:00,2026-01-27T18:00:00+00:00,2026-01-29T06:00:00+00:00
4340,4341,4377,-1,0.75,0.008807,0.007956,0.07184534439394809,2125.291338019164,31706.767437091003,TIME,0.00036611000000000976,SHORT_PULLBACK,2026-01-30T20:00:00+00:00,2026-01-30T21:00:00+00:00,2026-02-01T09:00:00+00:00
4391,4392,4428,-1,0.75,0.007536,0.007658,-0.012794077245222817,-405.6588317864589,31301.108605304544,TIME,0.000330190000000008,SHORT_PULLBACK,2026-02-01T23:00:00+00:00,2026-02-02T00:00:00+00:00,2026-02-03T12:00:00+00:00
4438,4439,4475,-1,0.75,0.007468,0.006885,0.05795108003347617,1813.9330499225325,33115.041655227076,TIME,0.0004016900000000066,SHORT_PULLBACK,2026-02-03T22:00:00+00:00,2026-02-03T23:00:00+00:00,2026-02-05T11:00:00+00:00
4671,4672,4684,1,0.75,0.006486,0.00682783,0.038514558279371086,1275.4112017540465,34390.45285698112,TRAIL,0.0001500000000000043,LONG_BASE_BREAKOUT,2026-02-13T15:00:00+00:00,2026-02-13T16:00:00+00:00,2026-02-14T04:00:00+00:00
4743,4744,4780,-1,0.75,0.007013,0.007104,-0.010294426422358418,-354.0299865677807,34036.42287041334,TIME,0.0004500000000000129,SHORT_PULLBACK,2026-02-16T15:00:00+00:00,2026-02-16T16:00:00+00:00,2026-02-18T04:00:00+00:00
4904,4905,4941,-1,0.75,0.006391,0.006425,-0.004636530917696825,-157.81092696647102,33878.61194344687,TIME,0.00033794000000001573,SHORT_PULLBACK,2026-02-23T08:00:00+00:00,2026-02-23T09:00:00+00:00,2026-02-24T21:00:00+00:00
4945,4946,4966,1,0.75,0.006675,0.0075175,0.09357542134831455,3170.205387304086,37048.81733075096,TRAIL,0.00025000000000000716,LONG_BASE_BREAKOUT,2026-02-25T01:00:00+00:00,2026-02-25T02:00:00+00:00,2026-02-25T22:00:00+00:00
5004,5005,5041,-1,0.75,0.006903,0.006927,-0.0038286369295957093,-141.84647023036086,36906.970860520596,TIME,-0.00042809999999999376,SHORT_PULLBACK,2026-02-27T12:00:00+00:00,2026-02-27T13:00:00+00:00,2026-03-01T01:00:00+00:00
5109,5110,5146,-1,0.75,0.006922,0.007194,-0.03003375108350184,-1108.454776070932,35798.516084449664,TIME,0.0004500000000000129,SHORT_PULLBACK,2026-03-03T21:00:00+00:00,2026-03-03T22:00:00+00:00,2026-03-05T10:00:00+00:00
5237,5238,5268,1,0.75,0.0068,0.00711107,0.033311151176470634,1192.4897811824121,36991.005865632076,TRAIL,0.00013072000000000084,LONG_BASE_BREAKOUT,2026-03-09T05:00:00+00:00,2026-03-09T06:00:00+00:00,2026-03-10T12:00:00+00:00
5328,5329,5342,1,0.75,0.007344,0.007648449999999999,0.030079207516339825,1112.6601416704943,38103.66600730257,TRAIL,0.0001500000000000043,LONG_BASE_BREAKOUT,2026-03-13T00:00:00+00:00,2026-03-13T01:00:00+00:00,2026-03-13T14:00:00+00:00
5398,5399,5410,1,0.75,0.007499,0.00794333,0.04342642519002535,1654.7060013318405,39758.37200863441,TRAIL,0.0001500000000000043,LONG_BASE_BREAKOUT,2026-03-15T22:00:00+00:00,2026-03-15T23:00:00+00:00,2026-03-16T10:00:00+00:00
5550,5551,5587,-1,0.75,0.006838,0.007105,-0.029912756119479373,-1189.2824856018196,38569.08952303259,TIME,0.0003628300000000015,SHORT_PULLBACK,2026-03-22T06:00:00+00:00,2026-03-22T07:00:00+00:00,2026-03-23T19:00:00+00:00
5829,5830,5866,-1,0.75,0.006236,0.006201,0.0036469291212316048,140.65873576093145,38709.74825879352,TIME,0.0004500000000000129,SHORT_PULLBACK,2026-04-02T21:00:00+00:00,2026-04-02T22:00:00+00:00,2026-04-04T10:00:00+00:00
5949,5950,5986,1,0.75,0.006662,0.0064,-0.030733146952867007,-1189.672381745986,37520.07587704754,TIME,0.0004500000000000129,LONG_BASE_BREAKOUT,2026-04-07T21:00:00+00:00,2026-04-07T22:00:00+00:00,2026-04-09T10:00:00+00:00
