symbol,entry_ts_ms,side,entry_price
FET,1754830800000,1,0.7041
DOGE,1754960400000,1,0.22452
DOGE,1755075600000,1,0.24954
UNI,1755205200000,1,10.891
AVAX,1755291600000,1,23.742
NEAR,1755867600000,-1,2.392
ONDO,1755896400000,-1,1.0095
DOGE,1756155600000,-1,0.20701
FET,1756688400000,-1,0.6103
DOGE,1756947600000,-1,0.21995
DOGE,1757307600000,-1,0.23128
AVAX,1757682000000,1,28.416
DOGE,1757768400000,-1,0.29565
FET,1757926800000,-1,0.6352
NEAR,1758099600000,1,2.767
AVAX,1758762000000,1,32.309
AVAX,1759107600000,-1,29.95
LDO,1759179600000,1,1.1486
APT,1759654800000,-1,5.4674
AVAX,1759770000000,-1,30.773
AVAX,1759856400000,1,28.555
FET,1760000400000,-1,0.5293
FET,1760187600000,-1,0.419
FET,1760245200000,1,0.3711
APT,1760288400000,-1,3.8829
FET,1760734800000,-1,0.2694
AVAX,1760778000000,-1,20.174
FET,1760893200000,-1,0.2917
AVAX,1761426000000,-1,19.661
APT,1761512400000,-1,3.5191
TAO,1761652800000,-1,443.74
LDO,1762160400000,-1,0.8046
FET,1762390800000,-1,0.2218
FET,1762477200000,1,0.2432
FET,1762837200000,-1,0.3692
SOL,1762966800000,-1,152.72
AVAX,1763370000000,-1,15.624
AVAX,1763413200000,1,14.367
SUI,1763499600000,-1,1.6801
UNI,1763830800000,1,6.082
TAO,1763920800000,-1,297.84
FET,1764709200000,-1,0.2567
AVAX,1764795600000,-1,14.444
SOL,1765414800000,-1,133.78
FET,1766034000000,1,0.2036
TAO,1766412000000,-1,228.18
UNI,1766912400000,-1,6.318
AVAX,1767214800000,1,12.344
AVAX,1767301200000,-1,13.44
RENDER,1767459600000,1,1.588
NEAR,1767704400000,1,1.828
FET,1767747600000,1,0.287
AAVE,1767805200000,1,167.02
SOL,1768150800000,1,139.99
APT,1768582800000,1,1.759
APT,1768669200000,-1,1.8875
SOL,1768784400000,-1,133.71
DOGE,1769014800000,-1,0.12069
AVAX,1769734800000,1,11.056
FET,1769936400000,-1,0.1909
TAO,1770051600000,-1,200.36
SUI,1770404400000,-1,0.9997
SUI,1770897600000,-1,0.9474
LDO,1771160400000,-1,0.3436
TAO,1771279200000,-1,197.12
SOL,1771808400000,-1,81.33
OP,1772060400000,-1,0.1274
SUI,1772348400000,-1,0.9199
LDO,1772902800000,-1,0.2874
SEI,1773165600000,-1,0.0657
FET,1773421200000,1,0.1771
FET,1773493200000,1,0.1759
FET,1773579600000,1,0.1958
TAO,1773921600000,1,248.43
DOGE,1774184400000,1,0.09145
DOT,1774472400000,-1,1.35
FET,1775106000000,1,0.2294
SOL,1775437200000,1,82.3
AVAX,1775854800000,-1,9.509
UNI,1775941200000,-1,3.186
UNI,1776286800000,-1,3.225
TAO,1776391200000,-1,255.46
UNI,1776862800000,-1,3.38
DOGE,1777438800000,1,0.10178
FET,1777755600000,1,0.2094
FET,1778173200000,1,0.2203
DOGE,1778216400000,1,0.10643
APT,1778446800000,-1,1.1757
DOGE,1778533200000,-1,0.11143
AVAX,1778590800000,1,9.88
FET,1778922000000,1,0.1966
TAO,1779303600000,-1,271.54
TAO,1779588000000,-1,280.05
SEI,1779847200000,-1,0.06703
SOL,1780246800000,-1,81.53
FET,1780664400000,1,0.2007
ARB,1780808400000,-1,0.0821
DOT,1781125200000,-1,0.916
UNI,1781686800000,-1,3.482
FET,1782176400000,-1,0.1858
AVAX,1782522000000,-1,6.586
DOGE,1782666000000,-1,0.07313
