layer,symbol,signal_timestamp_ms,entry_timestamp_ms,side
S1,ONDO,1755892800000,1755896400000,-1
S1,TAO,1761649200000,1761652800000,-1
S1,SUI,1763496000000,1763499600000,-1
S1,TAO,1763917200000,1763920800000,-1
S1,TAO,1766408400000,1766412000000,-1
S1,TAO,1770048000000,1770051600000,-1
S1,SUI,1770400800000,1770404400000,-1
S1,SUI,1770894000000,1770897600000,-1
S2,TAO,1771275600000,1771279200000,-1
S2,OP,1772056800000,1772060400000,-1
S2,SUI,1772344800000,1772348400000,-1
S2,SEI,1773162000000,1773165600000,-1
S2,TAO,1773918000000,1773921600000,1
S2,TAO,1776387600000,1776391200000,-1
S2,TAO,1779300000000,1779303600000,-1
S2,TAO,1779584400000,1779588000000,-1
S2,SEI,1779843600000,1779847200000,-1
S2,ARB,1780804800000,1780808400000,-1
