symbol,feature,period,horizon_minutes,threshold,events,gross_mean,net_mean,median_net,win_rate,trade_sharpe
BTCUSDT,sig_price_mr,selection,15,1.5,6458,8.901294867042307e-05,-0.0009109870513295772,-0.0009573416218683897,0.30953855682873954,-21.64085039496309
BTCUSDT,sig_price_mr,holdout,15,1.5,2956,1.1325696901846192e-06,-0.0009988674303098156,-0.0010218362425570829,0.2780784844384303,-20.6035114315569
BTCUSDT,sig_price_mr,selection,15,2.0,3302,0.00019808922793885598,-0.0008019107720611444,-0.0009246246373205138,0.33101150817686253,-12.701499316034962
BTCUSDT,sig_price_mr,holdout,15,2.0,1409,2.0187351613667834e-05,-0.0009798126483863325,-0.0010260303461775413,0.2895670688431512,-12.722714577807123
BTCUSDT,sig_price_mr,selection,15,2.5,1691,0.00015747219174810267,-0.0008425278082518977,-0.0009330633057504914,0.34299231224127735,-8.50824112622991
BTCUSDT,sig_price_mr,holdout,15,2.5,720,0.0001509596575258392,-0.000849040342474161,-0.000982223516769686,0.31666666666666665,-6.996726015406244
BTCUSDT,sig_price_mr,selection,30,1.5,6458,0.00019822199476005975,-0.0008017780052399407,-0.0009116825270077946,0.3666769897801177,-13.148438903343955
BTCUSDT,sig_price_mr,holdout,30,1.5,2955,-0.00013031531349940725,-0.0011303153134994074,-0.0010495624160373742,0.3197969543147208,-17.22060410667081
BTCUSDT,sig_price_mr,selection,30,2.0,3302,0.000336106529743154,-0.0006638934702568464,-0.000820710120546019,0.3912780133252574,-7.38766598295334
BTCUSDT,sig_price_mr,holdout,30,2.0,1409,-0.0001019924093544091,-0.0011019924093544095,-0.0010204399964739421,0.32860184528034064,-11.248842461341104
BTCUSDT,sig_price_mr,selection,30,2.5,1691,0.0003510211075734138,-0.0006489788924265865,-0.000733520872846615,0.3985807214665878,-4.700381239084588
BTCUSDT,sig_price_mr,holdout,30,2.5,720,-7.015708866486173e-05,-0.001070157088664862,-0.0010039883711542288,0.3541666666666667,-7.2442937460765435
BTCUSDT,sig_price_mr,selection,60,1.5,6458,0.00027450772204936193,-0.0007254922779506386,-0.0009334272515588707,0.39485908950139365,-8.71064057971262
BTCUSDT,sig_price_mr,holdout,60,1.5,2955,-0.000253219383773984,-0.0012532193837739845,-0.0011197374755848024,0.36446700507614216,-14.142624824419906
BTCUSDT,sig_price_mr,selection,60,2.0,3302,0.0004919164998135806,-0.0005080835001864198,-0.0007978062612273842,0.419442761962447,-3.9523659449055413
BTCUSDT,sig_price_mr,holdout,60,2.0,1409,-0.0002471671847116575,-0.0012471671847116578,-0.0010540912519422232,0.376153300212917,-9.86716506631927
BTCUSDT,sig_price_mr,selection,60,2.5,1691,0.0004710965052498355,-0.000528903494750165,-0.0007326995601164557,0.42992312241277353,-2.937507791101344
BTCUSDT,sig_price_mr,holdout,60,2.5,720,-0.00027828723453039115,-0.0012782872345303915,-0.0010381806787063122,0.38472222222222224,-6.725491770286886
BTCUSDT,sig_funding_contra,selection,15,1.5,2833,3.542305612084272e-05,-0.0009645769438791575,-0.0009611564868666758,0.29191669608189197,-21.061854120044114
BTCUSDT,sig_funding_contra,holdout,15,1.5,1809,-0.00012601563616416547,-0.001126015636164166,-0.0010725784579496125,0.2316196793808734,-24.427301180955173
BTCUSDT,sig_funding_contra,selection,15,2.0,1656,5.1234921943783636e-05,-0.0009487650780562167,-0.0009645814990270609,0.3007246376811594,-14.842793409845079
