scenario,execution_model,delay_minutes,cost_bps_per_side_per_venue,positive_volume_quantile,require_all_held_bars_active,gross_exposure,median_capacity_usd_1pct,p10_capacity_usd_1pct,total_return,annualized_cagr,max_drawdown,weekly_sharpe,trades,win_rate,mean_trade,median_trade,positive_week_ratio,positive_month_ratio,best_week,worst_week,top5_profit_share,bootstrap_prob_positive,bootstrap_total_p025,bootstrap_total_p50,bootstrap_total_p975
close_d1_c10_q0.25_path0_g1.0,close,5,10,0.25,False,1.0,10.22876027,3.064398896,-0.02915015728205872,-0.1119655620929133,-0.02915015728205872,-3.539142800481379,14,0.21428571428571427,-0.0021083690123878005,-0.002350864090147418,0.0,0.0,0.0,-0.015499754571089097,,0.0,-0.062277948015958096,-0.027429243238825785,-0.005518380610479046
close_d1_c10_q0.25_path0_g2.0,close,5,10,0.25,False,2.0,5.114380135,1.532199448,-0.05757604899399882,-0.21181610673824447,-0.05757604899399882,-3.5446991814011333,14,0.21428571428571427,-0.004216738024775601,-0.004701728180294836,0.0,0.0,0.0,-0.030845874134044493,,0.0,-0.1209735036511883,-0.05400482273590601,-0.01102149280106024
close_d1_c10_q0.25_path1_g1.0,close,5,10,0.25,True,1.0,28.52875243,24.288956198,-0.0056462170601969675,-0.022471189307120998,-0.0056462170601969675,-1.927248223318863,2,0.0,-0.002826870070054464,-0.002826870070054464,0.0,0.0,0.0,-0.0056462170601969675,,0.0,-0.016843191879403197,-0.0056462170601969675,0.0
close_d1_c10_q0.25_path1_g2.0,close,5,10,0.25,True,2.0,14.264376215,12.144478099,-0.011277387960570207,-0.04450272359515339,-0.011277387960570207,-1.927248223318863,2,0.0,-0.005653740140108928,-0.005653740140108928,0.0,0.0,0.0,-0.011277387960570207,,0.0,-0.03345205969639864,-0.011277387960570207,0.0
close_d1_c10_q0.5_path0_g1.0,close,5,10,0.5,False,1.0,30.80954604,14.109040088,-0.009197812760565527,-0.03641043617754791,-0.009799355656034292,-4.231828274655733,7,0.2857142857142857,-0.001316268149168517,-0.001970827989812039,0.0,0.0,0.0,-0.002905695981810563,,0.0,-0.017531197287071643,-0.009056024618498748,-0.001970827989812074
close_d1_c10_q0.5_path0_g2.0,close,5,10,0.5,False,2.0,15.40477302,7.054520044,-0.018363121285312256,-0.07169291380877019,-0.01952869185665751,-4.229981393213493,7,0.2857142857142857,-0.002632536298337034,-0.003941655979624078,0.0,0.0,0.0,-0.005841679772892627,,0.0,-0.034853431636251875,-0.018051432138470602,-0.003941655979624037
close_d1_c10_q0.5_path1_g1.0,close,5,10,0.5,True,1.0,,,0.0,0.0,0.0,,0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
close_d1_c10_q0.5_path1_g2.0,close,5,10,0.5,True,2.0,,,0.0,0.0,0.0,,0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
close_d1_c15_q0.25_path0_g1.0,close,5,15,0.25,False,1.0,10.22876027,3.064398896,-0.042682473425155854,-0.16061555046378895,-0.042682473425155854,-3.3770805106415733,14,0.07142857142857142,-0.003108369012387801,-0.003350864090147418,0.0,0.0,0.0,-0.02434019723109393,,0.0,-0.09279127994279801,-0.03974457906433926,-0.007742717637465296
close_d1_c15_q0.25_path0_g2.0,close,5,15,0.25,False,2.0,5.114380135,1.532199448,-0.08373299111253574,-0.2960193745675319,-0.08373299111253574,-3.387830379794348,14,0.07142857142857142,-0.006216738024775602,-0.006701728180294836,0.0,0.0,0.0,-0.048211845288622324,,0.0,-0.17639103134363854,-0.0778604566000024,-0.013846465746183756
close_d1_c15_q0.25_path1_g1.0,close,5,15,0.25,True,1.0,28.52875243,24.288956198,-0.007639563320056886,-0.030313148912445853,-0.007639563320056886,-1.9272482233188626,2,0.0,-0.0038268700700544635,-0.0038268700700544635,0.0,0.0,0.0,-0.007639563320056886,,0.0,-0.022744047044289006,-0.007639563320056886,0.0
close_d1_c15_q0.25_path1_g2.0,close,5,15,0.25,True,2.0,14.264376215,12.144478099,-0.015250773000009765,-0.059822418093119833,-0.015250773000009765,-1.9272482233188626,2,0.0,-0.007653740140108927,-0.007653740140108927,0.0,0.0,0.0,-0.015250773000009765,,0.0,-0.04505810788620057,-0.015250773000009765,0.0
close_d1_c15_q0.5_path0_g1.0,close,5,15,0.5,False,1.0,30.80954604,14.109040088,-0.016121782554284314,-0.06315586587424005,-0.016121782554284314,-3.940439635432303,7,0.14285714285714285,-0.0023162681491685167,-0.002970827989812039,0.0,0.0,0.0,-0.0068910067653655815,,0.0,-0.032353666475662846,-0.015745562488941545,-0.002970827989812075
close_d1_c15_q0.5_path0_g2.0,close,5,15,0.5,False,2.0,15.40477302,7.054520044,-0.03206001266249481,-0.1226009298884646,-0.03206001266249481,-3.940379346848212,7,0.14285714285714285,-0.0046325362983370335,-0.005941655979624078,0.0,0.0,0.0,-0.013782852040200355,,0.0,-0.06415180724951708,-0.03131754930204267,-0.005941655979624039
close_d1_c15_q0.5_path1_g1.0,close,5,15,0.5,True,1.0,,,0.0,0.0,0.0,,0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
close_d1_c15_q0.5_path1_g2.0,close,5,15,0.5,True,2.0,,,0.0,0.0,0.0,,0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
close_d1_c20_q0.25_path0_g1.0,close,5,20,0.25,False,1.0,10.22876027,3.064398896,-0.0560394659186324,-0.2066451653772754,-0.0560394659186324,-3.295983505649188,14,0.07142857142857142,-0.0041083690123878015,-0.004350864090147418,0.0,0.0,0.0,-0.033110005990534486,,0.0,-0.12331677695625032,-0.0525749376499286,-0.009503328580838133
close_d1_c20_q0.25_path0_g2.0,close,5,20,0.25,False,2.0,5.114380135,1.532199448,-0.10921446290392733,-0.37137013888860915,-0.10921446290392733,-3.311245284484367,14,0.07142857142857142,-0.008216738024775603,-0.008701728180294835,0.0,0.0,0.0,-0.06530066428004988,,0.0,-0.23116813799993785,-0.10277312907778668,-0.020136398453975524
close_d1_c20_q0.25_path1_g1.0,close,5,20,0.25,True,1.0,28.52875243,24.288956198,-0.009630909579916747,-0.03809997993456726,-0.009630909579916747,-1.927248223318863,2,0.0,-0.0048268700700544636,-0.0048268700700544636,0.0,0.0,0.0,-0.009630909579916747,,0.0,-0.02861535879116639,-0.009630909579916747,0.0
close_d1_c20_q0.25_path1_g2.0,close,5,20,0.25,True,2.0,14.264376215,12.144478099,-0.019216158039449427,-0.07492665446270907,-0.019216158039449427,-1.9272482233188624,2,0.0,-0.009653740140108927,-0.009653740140108927,0.0,0.0,0.0,-0.019216158039449427,,0.0,-0.056547787701498486,-0.019216158039449427,0.0
close_d1_c20_q0.5_path0_g1.0,close,5,20,0.5,False,1.0,30.80954604,14.109040088,-0.02300423685164099,-0.08918465955269161,-0.02300423685164099,-3.762893745581251,7,0.14285714285714285,-0.003316268149168516,-0.0039708279898120384,0.0,0.0,0.0,-0.010864358890908865,,0.0,-0.0475534267350047,-0.022226576914210594,-0.003970827989812076
close_d1_c20_q0.5_path0_g2.0,close,5,20,0.5,False,2.0,15.40477302,7.054520044,-0.0455927648055644,-0.17081124245810897,-0.0455927648055644,-3.7655737939826137,7,0.14285714285714285,-0.006632536298337032,-0.007941655979624077,0.0,0.0,0.0,-0.02167635503712817,,0.0,-0.09307847730385299,-0.044472526439855664,-0.00794165597962404
close_d1_c20_q0.5_path1_g1.0,close,5,20,0.5,True,1.0,,,0.0,0.0,0.0,,0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
close_d1_c20_q0.5_path1_g2.0,close,5,20,0.5,True,2.0,,,0.0,0.0,0.0,,0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
close_d2_c10_q0.25_path0_g1.0,close,10,10,0.25,False,1.0,27.681356209999997,4.3156300839999995,-0.0334981446814262,-0.12782177017806617,-0.0334981446814262,-3.0165635860483495,12,0.08333333333333333,-0.002832460705858919,-0.0026018949263036588,0.07142857142857142,0.3333333333333333,0.00036296053635376246,-0.021309604570224017,,0.00705,-0.07835143783430384,-0.031232927114419884,-0.003703135239819355
close_d2_c10_q0.25_path0_g2.0,close,10,10,0.25,False,2.0,13.840678104999999,2.1578150419999997,-0.06602948227498984,-0.2398126928407891,-0.06602948227498984,-3.024043732610375,12,0.08333333333333333,-0.005664921411717838,-0.0052037898526073175,0.07142857142857142,0.3333333333333333,0.0007259210727075249,-0.042266433666082626,,0.00615,-0.1501975092895108,-0.06177396704117932,-0.007848017718759537
close_d2_c10_q0.25_path1_g1.0,close,10,10,0.25,True,1.0,23.7541469,15.62378642,-0.004037483557163601,-0.0161076778338064,-0.004037483557163601,-2.688315377120134,2,0.0,-0.0020205844870503846,-0.0020205844870503846,0.0,0.0,0.0,-0.0026509373502148215,,0.0,-0.01056165905598383,-0.004037483557163601,0.0
close_d2_c10_q0.25_path1_g2.0,close,10,10,0.25,True,2.0,11.87707345,7.81189321,-0.008067596280452616,-0.03199088013022289,-0.008067596280452616,-2.6883153771201185,2,0.0,-0.004041168974100769,-0.004041168974100769,0.0,0.0,0.0,-0.005301874700429643,,0.0,-0.02128677946076385,-0.008067596280452616,0.0
close_d2_c10_q0.5_path0_g1.0,close,10,10,0.5,False,1.0,36.82646924,13.73667404,-0.0074483164970342575,-0.029562826666715947,-0.007808442876773403,-2.2692598137812894,7,0.14285714285714285,-0.0010667051888925342,-0.0006107454116681879,0.07142857142857142,0.3333333333333333,0.00036296053635376246,-0.006235910570850822,,0.08545,-0.020359773567796727,-0.006727671555120995,0.0006160129914096757
close_d2_c10_q0.5_path0_g2.0,close,10,10,0.5,False,2.0,18.41323462,6.86833702,-0.014859459959593146,-0.058321924922976165,-0.015574075482719829,-2.2697210820761007,7,0.14285714285714285,-0.0021334103777850685,-0.0012214908233363758,0.07142857142857142,0.3333333333333333,0.0007259210727075249,-0.01244922102028323,,0.08325,-0.04185395677318371,-0.013927468640697271,0.0012321297320641023
close_d2_c10_q0.5_path1_g1.0,close,10,10,0.5,True,1.0,,,0.0,0.0,0.0,,0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
close_d2_c10_q0.5_path1_g2.0,close,10,10,0.5,True,2.0,,,0.0,0.0,0.0,,0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
close_d2_c15_q0.25_path0_g1.0,close,10,15,0.25,False,1.0,27.681356209999997,4.3156300839999995,-0.04506523895979453,-0.1689700866268644,-0.04506523895979453,-3.2160256256838227,12,0.0,-0.0038324607058589193,-0.003601894926303659,0.0,0.0,0.0,-0.027188113012081128,,0.0,-0.10081754950033028,-0.04186012456277055,-0.0068967800005863555
close_d2_c15_q0.25_path0_g2.0,close,10,15,0.25,False,2.0,13.840678104999999,2.1578150419999997,-0.08832526596613055,-0.31007501010684657,-0.08832526596613055,-3.2276503797004934,12,0.0,-0.0076649214117178385,-0.007203789852607318,0.0,0.0,0.0,-0.05378422227659441,,0.0,-0.19166904140106078,-0.08247558548266509,-0.014886654854240233
close_d2_c15_q0.25_path1_g1.0,close,10,15,0.25,True,1.0,23.7541469,15.62378642,-0.006032442388189452,-0.02399433195553402,-0.006032442388189452,-2.767400502625271,2,0.0,-0.0030205844870503846,-0.0030205844870503846,0.0,0.0,0.0,-0.0036509373502148224,,0.0,-0.014523967820369466,-0.006032442388189452,0.0
close_d2_c15_q0.25_path1_g2.0,close,10,15,0.25,True,2.0,11.87707345,7.81189321,-0.012047431604556236,-0.047486223231424374,-0.012047431604556236,-2.767400502625264,2,0.0,-0.006041168974100769,-0.006041168974100769,0.0,0.0,0.0,-0.007301874700429645,,0.0,-0.028889148981272816,-0.012047431604556236,0.0
close_d2_c15_q0.5_path0_g1.0,close,10,15,0.5,False,1.0,36.82646924,13.73667404,-0.014382754628643135,-0.05649156559585311,-0.014382754628643135,-2.9288588681975325,7,0.0,-0.0020667051888925343,-0.001610745411668188,0.0,0.0,0.0,-0.009220434692060797,,0.0,-0.03476066100368147,-0.013287543285094738,-0.0011099599848923836
close_d2_c15_q0.5_path0_g2.0,close,10,15,0.5,False,2.0,18.41323462,6.86833702,-0.02859816799564696,-0.10993719816406544,-0.02859816799564696,-2.93078682965327,7,0.0,-0.0041334103777850685,-0.003221490823336376,0.0,0.0,0.0,-0.018387391751940707,,0.0,-0.06726059346953661,-0.026436935907823922,-0.002219919969784767
close_d2_c15_q0.5_path1_g1.0,close,10,15,0.5,True,1.0,,,0.0,0.0,0.0,,0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
close_d2_c15_q0.5_path1_g2.0,close,10,15,0.5,True,2.0,,,0.0,0.0,0.0,,0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
close_d2_c20_q0.25_path0_g1.0,close,10,20,0.25,False,1.0,27.681356209999997,4.3156300839999995,-0.05650530774337781,-0.20821550840684933,-0.05650530774337781,-3.342088866521874,12,0.0,-0.00483246070585892,-0.004601894926303658,0.0,0.0,0.0,-0.03303716757108732,,0.0,-0.12276403896631993,-0.0527982516307105,-0.010238950002032898
close_d2_c20_q0.25_path0_g2.0,close,10,20,0.25,False,2.0,13.840678104999999,2.1578150419999997,-0.1101321839763717,-0.3739656545465845,-0.1101321839763717,-3.357833085125688,12,0.0,-0.00966492141171784,-0.009203789852607317,0.0,0.0,0.0,-0.06518635093571179,,0.0,-0.2321532258489124,-0.10381997117384079,-0.020403758410731943
close_d2_c20_q0.25_path1_g1.0,close,10,20,0.25,True,1.0,23.7541469,15.62378642,-0.008025401219215356,-0.031825587977522996,-0.008025401219215356,-2.7970109087604427,2,0.0,-0.004020584487050384,-0.004020584487050384,0.0,0.0,0.0,-0.004650937350214823,,0.0,-0.020562981000577296,-0.008025401219215356,0.0
